title;artist;album;isrc;addedDate;addedBy;duration;url
"Blow 'Em Away";"Chuck Brodsky";"Fast Folk Musical Magazine (Vol. 7, No. 7) Guerilla Recording";USSF19370703;"2019-08-19 01:10";randomparity;251s;https://open.spotify.com/track/6qA1BAtxl67SWq9D36L2gt
"I Like Your Skin";"Chuck McCabe";"Burgers and Champagne";ushm90562382;"2019-08-19 01:10";randomparity;239s;https://open.spotify.com/track/2NmWy8wIUjgQX7bN6kugx9
"All My Favorite Drunks Have Given Up Drinkin'";"Cole Slaw & The Baked Bean Band";"Live at The Second City Studio Theatre in Hollywood";usx9p0937216;"2019-08-19 01:10";randomparity;252s;https://open.spotify.com/track/004MsaCZrcEGWbgPg9L9v5
"The True And Terrible Trials of Waldo The Dog";"Cosy Sheridan";"Botox Tango";ushm20449173;"2019-08-19 01:10";randomparity;152s;https://open.spotify.com/track/0FmG22l10D6xa2wYxG5dSa
Maybe;"Craig Roberts";Maybe;ushm20452578;"2019-08-19 01:12";randomparity;270s;https://open.spotify.com/track/4B0XraCEwLiEyh9QtqWXVS
"Bear Shelves";"Dan Hart";"Santa God and Other Blasphemies";ushm90619714;"2019-08-19 01:12";randomparity;84s;https://open.spotify.com/track/7nK3Ya3VgUY7vxnUtagEBZ
"Sex 'n' Violence";"Dan Hart";"The Life of Dan";ushm20372169;"2019-08-19 01:12";randomparity;169s;https://open.spotify.com/track/2KMBQRDx91ai2LSFTR2VMz
"Papa Woody";"Darryl Rhoades";"Rhoades...All Over The Map";ushm80542730;"2019-08-19 01:10";randomparity;216s;https://open.spotify.com/track/19eYyxndAmPl7SH9R9mmE8
UFO;"Darryl Rhoades";"Radio Daze...The Shroud of Tourin'";ushm80591135;"2019-08-19 01:10";randomparity;206s;https://open.spotify.com/track/52UYFJ4s3AMex2qrQOWLK8
"But But But";"Dave Elder and the Elderadoes";"Elder Street";ussz40900704;"2019-08-19 01:10";randomparity;133s;https://open.spotify.com/track/1845pjcFB4EVldVd4iUEaz
"South Park Junkie";"Devo Spice";"Rhythms from the Crypt: The Best of Sudden Death, Vol. 2";USJ3V1255861;"2019-08-19 01:10";randomparity;283s;https://open.spotify.com/track/5Qga2bnRatexOOxpSBeIVq
"Lijah (Live)";"Don White";"The Best of Don White 1992-2009";USGCV0994470;"2019-08-19 01:10";randomparity;359s;https://open.spotify.com/track/2MW1hLs4kGGd6HWFdhf3D0
Rascal;"Don White";"Christine Lavin Presents: Laugh Tracks - Two Evenings Of Music & Madness, Live At The Bottom Line (Volume 1)";US7SF1355439;"2019-08-19 01:11";randomparity;300s;https://open.spotify.com/track/6gmWR46a1ZMeCuplnlXvp6
