title,artist,album,isrc,platform,trackId,duration,addedDate,addedBy,url
"How Much I Feel",Ambrosia,"Life Beyond L.A.",USWB17800025,spotify,3GVhCuS4BRxCTvVj4Cmc8w,283s,"2021-04-15 03:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/3GVhCuS4BRxCTvVj4Cmc8w
"Biggest Part of Me",Ambrosia,"One Eighty",USWB18000096,spotify,6JHXiRD1QjMK1N6AQEnL04,324s,"2021-04-15 03:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/6JHXiRD1QjMK1N6AQEnL04
"Ready for Camarillo",Ambrosia,"Life Beyond L.A.",USWB19902230,spotify,1dOTlLo7fgs8OcnOQpqPqH,295s,"2022-08-26 21:54",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/1dOTlLo7fgs8OcnOQpqPqH
"World Leave Me Alone",Ambrosia,Ambrosia,USWB19902220,spotify,5rgl8qkp2BlG4TsqLQLYJb,197s,"2022-09-10 16:43",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/5rgl8qkp2BlG4TsqLQLYJb
"Nice, Nice, Very Nice","Ambrosia, Alan Parsons",Ambrosia,USWB17500025,spotify,10Vp6LUbSc5LUM3ksCZB1M,350s,"2021-12-21 22:59",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/10Vp6LUbSc5LUM3ksCZB1M
"Holdin' on to Yesterday","Ambrosia, Alan Parsons",Ambrosia,USWB17500026,spotify,5nFpF7jUbVnnDMXIu65aoh,260s,"2021-12-21 22:59",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/5nFpF7jUbVnnDMXIu65aoh
"Sister Golden Hair",America,Hearts,USWB19901801,spotify,5VSAonaAPhhGn0G7hMYwWK,200s,"2021-04-15 03:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/5VSAonaAPhhGn0G7hMYwWK
"You Can Do Magic",America,"Struttin' Our Stuff",DEB640100003,spotify,46OHHWINYUXnxLCu5J5Fyo,245s,"2022-11-15 22:20",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/46OHHWINYUXnxLCu5J5Fyo
"Daisy Jane",America,Hearts,USWB19901802,spotify,4vxLWiOERuSSC5edMs6uu0,186s,"2022-11-15 22:20",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/4vxLWiOERuSSC5edMs6uu0
"Ventura Highway","America, George Martin",Homecoming,USWB19901795,spotify,4IU1RL4BKvFyXtbTwaHAvW,211s,"2021-04-15 03:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/4IU1RL4BKvFyXtbTwaHAvW
"A Horse with No Name","America, George Martin",America,USWB19901792,spotify,54eZmuggBFJbV7k248bTTt,252s,"2021-04-15 03:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/54eZmuggBFJbV7k248bTTt
"So Into You","Atlanta Rhythm Section","20th Century Masters: The Millennium Collection: Best Of Atlanta Rhythm Section",USUMG9900509,spotify,5mpzCj9l1pYsL4XOXiea84,264s,"2021-04-15 03:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/5mpzCj9l1pYsL4XOXiea84
Spooky,"Atlanta Rhythm Section","The Hits",GBQRF0705488,spotify,6sILpAAbqyuK2SQ5iI0DZH,299s,"2022-11-15 22:20",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/6sILpAAbqyuK2SQ5iI0DZH
"Into The Night","Benny Mardones","Never Run Never Hide",USUMG0000673,spotify,0rhyBUAgNXwdyvGVXSrLzc,272s,"2021-04-15 03:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/0rhyBUAgNXwdyvGVXSrLzc
"Key Largo (Exclusive Version)","Bertie Higgins","Key Largo (Exclusive Version)",USA560890883,spotify,2XlVkQZD4rnEJovAel4QiA,196s,"2022-11-15 22:20",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/2XlVkQZD4rnEJovAel4QiA
"Just Another Day in Paradise","Bertie Higgins","The Essential Playlist",US2G40500746,spotify,3R3o9KGI0BYzU3G9Ie5lhe,234s,"2022-11-15 22:20",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/3R3o9KGI0BYzU3G9Ie5lhe
"Take It Uptown","Bill Champlin",Mayday,USY5Y0809048,spotify,567uiUlyEKgiKkl8uWHmTA,342s,"2021-04-15 03:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/567uiUlyEKgiKkl8uWHmTA
"Caribbean Queen (No More Love On the Run)","Billy Ocean","The Very Best of Billy Ocean",GBAHK9700109,spotify,4JEylZNW8SbO4zUyfVrpb7,244s,"2021-10-06 21:22",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/4JEylZNW8SbO4zUyfVrpb7
"Rock-A-Bye Baby","Billy Ocean","Inner Feelings (Expanded Edition)",GBAHK1000057,spotify,6JfwLQzHn35Ym8ucFNBCvj,278s,"2022-08-10 17:00",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/6JfwLQzHn35Ym8ucFNBCvj
"Ride Captain Ride","Blues Image","Open (US Internet Release)",USEE10412858,spotify,1d9hUvkv64Wmdu671Dydpc,226s,"2021-04-15 03:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/1d9hUvkv64Wmdu671Dydpc
"What You Won't Do for Love","Bobby Caldwell","What You Won't Do for Love",USA370532331,spotify,7dL8FCLzEaWC2A3qWQuz1q,286s,"2021-04-15 03:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/7dL8FCLzEaWC2A3qWQuz1q
"Lido Shuffle","Boz Scaggs","Silk Degrees",USSM17500569,spotify,2NtqZmfRIDkXJ2YvY2Kv1F,222s,"2021-04-15 03:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/2NtqZmfRIDkXJ2YvY2Kv1F
Georgia,"Boz Scaggs","Silk Degrees",USSM17500563,spotify,428IK8fDAscfRpmavVKJkN,235s,"2021-04-15 03:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/428IK8fDAscfRpmavVKJkN
Lowdown,"Boz Scaggs","My Time: A Boz Scaggs Anthology (1969-1997)",USSM17500264,spotify,20MxJN12WEqU5eWsuCrwM5,316s,"2022-11-15 22:20",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/20MxJN12WEqU5eWsuCrwM5
JoJo,"Boz Scaggs","My Time: A Boz Scaggs Anthology (1969-1997)",USSM17900273,spotify,2Wtc2rEBd6YJ66qJLCSqHD,352s,"2022-11-15 22:20",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/2Wtc2rEBd6YJ66qJLCSqHD
"Everything I Own",Bread,"Baby I'm-a Want You",USEE10000092,spotify,52VIdyKqp1pJRSyUQaxKUA,187s,"2021-04-15 03:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/52VIdyKqp1pJRSyUQaxKUA
"Make It with You",Bread,"On the Waters",USEE10180854,spotify,7wWw7hBmErNg9u5w6Xx0vy,192s,"2021-04-15 03:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/7wWw7hBmErNg9u5w6Xx0vy
"New York Bars","Brenda Russell","Two Eyes",USWB10201409,spotify,7b2vC9EATaW3Z0OYkoBexI,246s,"2022-09-10 16:43",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/7b2vC9EATaW3Z0OYkoBexI
"It's Too Late","Carole King",Tapestry,USSM17100509,spotify,12q3V8ShACq2PSWINMc2rC,233s,"2021-04-15 03:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/12q3V8ShACq2PSWINMc2rC
"How 'Bout Us",Champaign,"'80s Pop Hits",USSM10605884,spotify,0s4ft4UVLWtpdELSCBnYRy,275s,"2022-11-15 22:20",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/0s4ft4UVLWtpdELSCBnYRy
"Baby, What a Big Surprise - Edit",Chicago,"Chicago XI",USRH10802997,spotify,11dAtktxQQzipxuLqljEfY,184s,"2021-04-15 03:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/11dAtktxQQzipxuLqljEfY
"No Tell Lover - 2002 Remaster",Chicago,"Hot Streets (Expanded & Remastered)",USRH10285540,spotify,0GoT8Ro3hwpyFZfPmg0Wk7,230s,"2022-07-14 00:34",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/0GoT8Ro3hwpyFZfPmg0Wk7
"My Girl (Gone, Gone, Gone)",Chilliwack,"Wanna Be A Star",CAS269900007,spotify,3F3qMsKHOAmHDezIK840bp,255s,"2022-11-15 22:20",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/3F3qMsKHOAmHDezIK840bp
"I Really Don't Know Anymore","Christopher Cross","Christopher Cross",USWB19901338,spotify,14QIzQLldgAVxrkDnaV8b7,233s,"2021-04-15 03:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/14QIzQLldgAVxrkDnaV8b7
"Never Be the Same","Christopher Cross","Christopher Cross",USWB19901340,spotify,2vUoP3ppYxD1F5ovbnmM46,250s,"2021-04-15 03:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/2vUoP3ppYxD1F5ovbnmM46
Sailing,"Christopher Cross","Christopher Cross",USWB19901344,spotify,6Hu6dzwlvoyg3zBUC8k4BK,256s,"2021-04-15 03:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/6Hu6dzwlvoyg3zBUC8k4BK
"Ride Like the Wind","Christopher Cross","Christopher Cross",USWB19901342,spotify,7gUMShP1l20tC0xf17Zplk,276s,"2021-04-15 03:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/7gUMShP1l20tC0xf17Zplk
"Arthur's Theme","Christopher Cross","The Café Carlyle Sessions",USBPS0750057,spotify,3OdEF36v33Fl7Efv0Eb2o5,240s,"2022-11-15 22:20",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/3OdEF36v33Fl7Efv0Eb2o5
"All Right","Christopher Cross","The Café Carlyle Sessions",USBPS0750056,spotify,5hcJWHri7SNW3Gt7TAbVkC,262s,"2022-11-15 22:20",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/5hcJWHri7SNW3Gt7TAbVkC
"Feels So Good","Chuck Mangione","Feels So Good",USAM17700535,spotify,2M7EflZCPCqqRLB9hy5MDy,583s,"2021-04-15 03:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/2M7EflZCPCqqRLB9hy5MDy
"Devil Woman - 2001 Remaster","Cliff Richard","I'm Nearly Famous",GBAYE0100609,spotify,29YcYtqUNLWaYvGVGdYtZy,217s,"2022-11-15 22:20",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/29YcYtqUNLWaYvGVGdYtZy
"I Love You","Climax Blues Band","Flying the Flag",USA371622046,spotify,3VyJPsb2ucaaVptLSDpJNH,245s,"2021-04-15 03:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/3VyJPsb2ucaaVptLSDpJNH
"Couldn't Get It Right","Climax Blues Band","Gold Plated",GBEHT0400579,spotify,7GSCnEFxiD6Im98CbfySDw,199s,"2021-04-15 03:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/7GSCnEFxiD6Im98CbfySDw
"Sail On",Commodores,"Midnight Magic",USMO10000524,spotify,2QglMIKYxa06BFSXG6KwvC,332s,"2022-11-15 22:20",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/2QglMIKYxa06BFSXG6KwvC
"Southern Cross - 2005 Remaster","Crosby, Stills & Nash","Daylight Again (Deluxe Edition)",USAT20506614,spotify,5AoZknxgY6F25gAcVahO41,281s,"2021-04-15 03:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/5AoZknxgY6F25gAcVahO41
"Hard to Say","Dan Fogelberg","Love Songs",USSM18100034,spotify,0lFIys9PvdEJqTWsS7Ac9y,237s,"2021-12-21 22:59",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/0lFIys9PvdEJqTWsS7Ac9y
"Rich Girl","Daryl Hall & John Oates","Bigger Than Both Of Us",USRC17607760,spotify,0qRR9d89hIS0MHRkQ0ejxX,143s,"2021-04-15 03:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/0qRR9d89hIS0MHRkQ0ejxX
"Sara Smile","Daryl Hall & John Oates","Daryl Hall & John Oates (The Silver Album)",USRC17500581,spotify,1qjrYozGqc7upUgfN776lZ,185s,"2021-04-15 03:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/1qjrYozGqc7upUgfN776lZ
"You Make My Dreams (Come True)","Daryl Hall & John Oates","Driving Anthems",USRC10301828,spotify,3pH1IlsJAwxkPHdhJ0MQr0,191s,"2021-04-15 03:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/3pH1IlsJAwxkPHdhJ0MQr0
"I Can't Go for That (No Can Do)","Daryl Hall & John Oates","Private Eyes (Expanded Edition)",USRC10301819,spotify,41dDygR3r7e926oGUXfrLt,307s,"2021-04-15 03:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/41dDygR3r7e926oGUXfrLt
"Kiss on My List","Daryl Hall & John Oates",Voices,USRC10301820,spotify,7cDzJyC95jtGO9zAeZsWOg,265s,"2021-04-15 03:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/7cDzJyC95jtGO9zAeZsWOg
"She's Gone - 2013 Remaster","Daryl Hall & John Oates","No Goodbyes",USAT20614597,spotify,43FqJU99rVT7bWWoXzkNzI,315s,"2022-11-15 22:20",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/43FqJU99rVT7bWWoXzkNzI
"Please Come to Boston","Dave Loggins",Apprentice,USSM17500571,spotify,1pfSKTDigM2xnWG2Y0AquA,246s,"2021-04-15 03:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/1pfSKTDigM2xnWG2Y0AquA
"Bang Bang (Album Edit)","David Sanborn","Anything You Want: The Warner-Reprise-Elektra Years 1975-1999",USRH11903339,spotify,0hbYrSnXUVrdGDncM6qyuo,241s,"2022-09-10 16:43",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/0hbYrSnXUVrdGDncM6qyuo
"Drift Away - Single Version","Dobie Gray","Ultimate Collection: Dobie Gray",USMC17146462,spotify,6hJhVBOnkchxBsDHbLOBJP,237s,"2021-09-08 23:52",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/6hJhVBOnkchxBsDHbLOBJP
I.G.Y.,"Donald Fagen","The Nightfly",USWB18200007,spotify,6bzwsAtj4TqaBysLDrGiO3,363s,"2021-04-15 03:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/6bzwsAtj4TqaBysLDrGiO3
"Midnight Cruiser (In the Style of Steely Dan) [Performance Track with Demonstration Vocals]","Done Again","Midnight Cruiser (In the Style of Steely Dan) [Performance Track with Demonstration Vocals]",USK4W0700345,spotify,6f618QmPaAuo8bgugUuy6s,264s,"2022-08-26 21:54",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/6f618QmPaAuo8bgugUuy6s
"When You're In Love With A Beautiful Woman","Dr. Hook","Pleasure & Pain",USCA28700091,spotify,1UiKUFbCfgbVjwY8W657Pv,179s,"2021-04-15 03:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/1UiKUFbCfgbVjwY8W657Pv
"Better Love Next Time","Dr. Hook","Greatest Hits",USCA28700269,spotify,6ZnOQsOEWMhWNENR1HSClT,181s,"2021-04-15 03:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/6ZnOQsOEWMhWNENR1HSClT
"Sexy Eyes - Single Version","Dr. Hook","Dr. Hook - The Best Of",USCA28700089,spotify,6uxGAruWvj6O2hVBBTNITa,177s,"2021-04-15 03:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/6uxGAruWvj6O2hVBBTNITa
"I Can't Tell You Why - 2013 Remaster",Eagles,"The Long Run (2013 Remaster)",USEE11300335,spotify,02BsTeJE4q5gWOTt58ur5U,295s,"2021-04-15 03:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/02BsTeJE4q5gWOTt58ur5U
"The Best of My Love - 2013 Remaster",Eagles,"On the Border (2013 Remaster)",USEE11300333,spotify,5MLLuLqPdUlx8bfKtdkLwO,275s,"2021-04-15 03:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/5MLLuLqPdUlx8bfKtdkLwO
"One of These Nights - 2013 Remaster",Eagles,"One of These Nights (2013 Remaster)",USEE11300344,spotify,608xszaAxVh4m7NcKJiAbF,292s,"2021-04-15 03:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/608xszaAxVh4m7NcKJiAbF
"Those Shoes - 2013 Remaster",Eagles,"The Long Run (2013 Remaster)",USEE11300340,spotify,13TrgZ4RqtjXd8w9wAuwxE,295s,"2021-12-21 22:59",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/13TrgZ4RqtjXd8w9wAuwxE
"The Greeks Don't Want No Freaks - 2013 Remaster",Eagles,"The Long Run (2013 Remaster)",USEE11300342,spotify,32DN4R5owcwqs7I4kPFfl3,138s,"2021-12-21 22:59",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/32DN4R5owcwqs7I4kPFfl3
"I'd Really Love to See You Tonight","England Dan & John Ford Coley","Rhino Hi-Five: England Dan & John Ford Coley",USAT20181306,spotify,51WE0PFRB0hCSp9mDC5p8u,159s,"2021-04-15 03:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/51WE0PFRB0hCSp9mDC5p8u
"Nights Are Forever Without You","England Dan & John Ford Coley","Nights Are Forever",USAT20201191,spotify,4XJhR31yvvrJl99caa0Xpj,171s,"2022-11-15 22:20",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/4XJhR31yvvrJl99caa0Xpj
"You Are the Woman",Firefall,Firefall,USAT20003575,spotify,4iiLzvbh0bXMnomiB6DIuk,164s,"2021-04-15 03:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/4iiLzvbh0bXMnomiB6DIuk
"Just Remember I Love You",Firefall,"Luna Sea",USAT20105754,spotify,2u8DFrCzgVuviSHB6RCEIO,197s,"2022-11-15 22:20",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/2u8DFrCzgVuviSHB6RCEIO
Rhiannon,"Fleetwood Mac","Fleetwood Mac",USWB19900188,spotify,05oETzWbd4SI33qK2gbJfR,253s,"2021-04-15 03:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/05oETzWbd4SI33qK2gbJfR
Gypsy,"Fleetwood Mac","Greatest Hits",USWB19900203,spotify,19Ym5Sg0YyOCa6ao21bdoG,265s,"2021-04-15 03:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/19Ym5Sg0YyOCa6ao21bdoG
"Everywhere - 2017 Remaster","Fleetwood Mac","Tango In the Night (Deluxe Edition)",USRH11602189,spotify,254bXAqt3zP6P50BdQvEsq,227s,"2021-04-15 03:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/254bXAqt3zP6P50BdQvEsq
"When I See You Again - 2017 Remaster","Fleetwood Mac","Tango In the Night (Deluxe Edition)",USRH11602197,spotify,2x9TjMtI18qcU66sim1wvj,229s,"2021-12-06 23:41",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/2x9TjMtI18qcU66sim1wvj
"Big Love - 2017 Remaster","Fleetwood Mac","Tango In the Night (Deluxe Edition)",USRH11602187,spotify,0hOA8SoraNo2ZP1amtVYnY,224s,"2021-12-21 22:59",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/0hOA8SoraNo2ZP1amtVYnY
"Straight Back - 2016 Remaster","Fleetwood Mac","Mirage (Deluxe Edition)",USRH11602234,spotify,1HTcOEY98iFng04Xw6Ku9D,252s,"2021-12-21 22:59",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/1HTcOEY98iFng04Xw6Ku9D
"What Makes You Think You're the One - 2015 Remaster","Fleetwood Mac","Tusk (2015 Remaster)",USRH11507774,spotify,2seqsVYFO7vHMPWIrAYSSf,211s,"2021-12-21 22:59",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/2seqsVYFO7vHMPWIrAYSSf
"Oh Daddy - 2004 Remaster","Fleetwood Mac","Rumours (Super Deluxe)",USWB11301119,spotify,2wmr2A1ixEx9qViaOMkkkW,236s,"2021-12-21 22:59",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/2wmr2A1ixEx9qViaOMkkkW
"Love in Store - 2016 Remaster","Fleetwood Mac","Mirage (Deluxe Edition)",USRH11602227,spotify,41tJM6A0L02Rw6JSS5iThp,195s,"2021-12-21 22:59",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/41tJM6A0L02Rw6JSS5iThp
"Honey Hi - 2015 Remaster","Fleetwood Mac","Tusk (Deluxe Edition)",USRH11507784,spotify,4hitfppPqFmsKsI9GS7IBc,166s,"2021-12-21 22:59",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/4hitfppPqFmsKsI9GS7IBc
"That's Enough for Me - 2015 Remaster","Fleetwood Mac","Tusk (2015 Remaster)",USRH11507780,spotify,5Kp0YrDat1sUhqaJ6MSwvg,111s,"2021-12-21 22:59",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/5Kp0YrDat1sUhqaJ6MSwvg
"Beautiful Child - 2015 Remaster","Fleetwood Mac","Tusk (Deluxe Edition)",USRH11507785,spotify,5sGzYNpOemzJp882jXNnRk,321s,"2021-12-21 22:59",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/5sGzYNpOemzJp882jXNnRk
"You Make Loving Fun - 2004 Remaster","Fleetwood Mac",Rumours,USWB10400054,spotify,28H3wOEKsaEa8NBEYCLl4j,214s,"2022-03-30 23:28",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/28H3wOEKsaEa8NBEYCLl4j
"Dreams - 2004 Remaster","Fleetwood Mac",Rumours,USWB10400046,spotify,5TDZyWDfbQFQJabbPwImVY,258s,"2022-11-15 22:20",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/5TDZyWDfbQFQJabbPwImVY
"Dream Weaver","Gary Wright","The Dream Weaver",USWB10902466,spotify,74DrA5fFoGSy4xgkZarZtP,256s,"2022-03-30 23:28",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/74DrA5fFoGSy4xgkZarZtP
Breezin',"George Benson",Breezin',USWB10201610,spotify,1m3BAsNsQAaSNMD2M6vlKY,342s,"2021-04-15 03:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/1m3BAsNsQAaSNMD2M6vlKY
"Give Me the Night","George Benson","Give Me the Night",USWB10000902,spotify,5gaUkg5JNk8c4mr2jnpX8H,301s,"2022-11-15 22:20",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/5gaUkg5JNk8c4mr2jnpX8H
"Right Down the Line","Gerry Rafferty","City to City",GBAYE7800544,spotify,2Xb6wJYGi0QXwURw5WWvI5,268s,"2021-04-15 03:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/2Xb6wJYGi0QXwURw5WWvI5
"Baker Street","Gerry Rafferty","City to City",GBAYE7800619,spotify,5gOd6zDC8vhlYjqbQdJVWP,366s,"2021-04-15 03:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/5gOd6zDC8vhlYjqbQdJVWP
Island,"Gerry Rafferty","City to City",GBAYE7800543,spotify,0WmJhww5BZROmkmAaOZUXj,316s,"2021-10-13 22:44",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/0WmJhww5BZROmkmAaOZUXj
"I Just Wanna Stop","Gino Vannelli","Brother To Brother",USAM19500614,spotify,5ljGmNLjvQZm2hw8cDJXNJ,218s,"2021-10-06 21:22",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/5ljGmNLjvQZm2hw8cDJXNJ
"Just the Two of Us","Grover Washington, Jr.",Winelight,USEE10900522,spotify,5fdNHVZHbWB1AaXk4RBGVD,444s,"2022-11-15 22:20",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/5fdNHVZHbWB1AaXk4RBGVD
