title,artist,album,isrc,platform,trackId,duration,addedDate,addedBy,url
"Hands Clean","Alanis Morissette","Under Rug Swept",USMV20100234,spotify,2LVxvGhl2U5p2ql2ujc6vZ,269s,"2022-09-10 16:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/2LVxvGhl2U5p2ql2ujc6vZ
"Hand in My Pocket - 2015 Remaster","Alanis Morissette","Jagged Little Pill (2015 Remaster)",USMV21500004,spotify,2lE7oRoKssULAtbWViL385,222s,"2022-09-10 16:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/2lE7oRoKssULAtbWViL385
"You Oughta Know - 2015 Remaster","Alanis Morissette","Jagged Little Pill (2015 Remaster)",USMV21500002,spotify,3jS7bB0oXVOwGFZn3aE5NV,249s,"2022-09-10 16:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/3jS7bB0oXVOwGFZn3aE5NV
"You Learn - 2015 Remaster","Alanis Morissette","Jagged Little Pill (2015 Remaster)",USMV21500007,spotify,4l7YIni9bAiGwWMqK5wvgV,240s,"2022-09-10 16:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/4l7YIni9bAiGwWMqK5wvgV
"Head over Feet - 2015 Remaster","Alanis Morissette","Jagged Little Pill (2015 Remaster)",USMV21500008,spotify,735rjks7kQgWCjTQlIHMuH,267s,"2022-09-10 16:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/735rjks7kQgWCjTQlIHMuH
"Head over Feet - Acoustic","Alanis Morissette","Jagged Little Pill (Acoustic)",USMV20500116,spotify,2kFXr6UB5GYS4pd8zY61mo,256s,"2022-11-15 21:03",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/2kFXr6UB5GYS4pd8zY61mo
"Smooth Criminal","Alien Ant Farm",Anthology,USDW10022224,spotify,5z6xHjCZr7a7AIcy8sPBKy,209s,"2022-09-10 16:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/5z6xHjCZr7a7AIcy8sPBKy
"Monsters (feat. blackbear)","All Time Low, blackbear","Wake Up, Sunshine",USAT22000034,spotify,0tyR7Bu9P086aWBFZ4QJoo,174s,"2022-09-10 16:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/0tyR7Bu9P086aWBFZ4QJoo
"Best Day Of My Life","American Authors","Oh, What A Life",USUM71302187,spotify,5Hroj5K7vLpIG4FNCRIjbP,194s,"2022-09-10 16:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/5Hroj5K7vLpIG4FNCRIjbP
"Flavor Of The Weak","American Hi-Fi","American Hi-Fi",USIR20000691,spotify,1UkMAtLU8NxsddE7j4zXGO,189s,"2022-09-10 16:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/1UkMAtLU8NxsddE7j4zXGO
"Keep Your Head Up","Andy Grammer","Andy Grammer",USKFE1000058,spotify,4Jz4bjXeiF2SXVj9P4YfY5,190s,"2022-09-10 16:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/4Jz4bjXeiF2SXVj9P4YfY5
"Honey, I'm Good.","Andy Grammer","Magazines Or Novels",USZXT1400267,spotify,4MflGTO2ZTcSQ12bWcyRgI,199s,"2022-09-10 16:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/4MflGTO2ZTcSQ12bWcyRgI
"Walking on Broken Glass","Annie Lennox",Diva,GBARL9200043,spotify,4CcSw8wQAHYf4XNckayPoc,253s,"2022-09-10 16:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/4CcSw8wQAHYf4XNckayPoc
"I Put A Spell On You","Annie Lennox",Nostalgia,GBUM71403864,spotify,3sesq9P6ndjuqaq5om7sxT,212s,"2022-11-15 21:03",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/3sesq9P6ndjuqaq5om7sxT
"Body Paint","Arctic Monkeys","The Car",GBCEL2200516,spotify,42GuKw49pPxNAkIhWGwgFs,291s,"2022-11-15 21:03",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/42GuKw49pPxNAkIhWGwgFs
"Burn Baby Burn",Ash,"Free All Angels",GBBUG0101003,spotify,0XRONzbNix2Dnlx4SUzQVC,209s,"2022-10-25 01:49",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/0XRONzbNix2Dnlx4SUzQVC
"Like a Stone",Audioslave,Audioslave,USSM10211587,spotify,3YuaBvuZqcwN3CEAyyoaei,294s,"2022-11-15 21:03",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/3YuaBvuZqcwN3CEAyyoaei
"Sk8er Boi","Avril Lavigne","Let Go",USAR10200229,spotify,00Mb3DuaIH1kjrwOku9CGU,204s,"2022-09-10 16:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/00Mb3DuaIH1kjrwOku9CGU
Girlfriend,"Avril Lavigne","The Best Damn Thing (Expanded Edition)",USRC10700021,spotify,45hOioMDJktr86iKDHC8gr,217s,"2022-09-10 16:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/45hOioMDJktr86iKDHC8gr
Complicated,"Avril Lavigne","Let Go",USAR10200223,spotify,5xEM5hIgJ1jjgcEBfpkt2F,245s,"2022-09-10 16:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/5xEM5hIgJ1jjgcEBfpkt2F
"One Week","Barenaked Ladies","Stunt (20th Anniversary Edition)",USRE19800261,spotify,29hBRadFZf9QTGRHZmxm65,170s,"2022-09-10 16:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/29hBRadFZf9QTGRHZmxm65
"Pinch Me","Barenaked Ladies",Maroon,USRE10000774,spotify,2RQ3fWFZJJe4G5KkHEACww,285s,"2022-09-10 16:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/2RQ3fWFZJJe4G5KkHEACww
"It's All Been Done","Barenaked Ladies, Tom Lord-Alge","Stunt (20th Anniversary Edition)",USRE19800262,spotify,1VBRdl1sT4DGckQaTzKEB9,206s,"2022-09-10 16:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/1VBRdl1sT4DGckQaTzKEB9
Pompeii,Bastille,"Bad Blood",GBAAA1200795,spotify,3gbBpTdY8lnQwqxNCcf795,214s,"2022-09-10 16:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/3gbBpTdY8lnQwqxNCcf795
"Pompeii - Live At Studio Brussel (Acoustic)",Bastille,"Acoustic Pop",GBUM71405601,spotify,6Z7QL3OHC0Qh6c4UTPPstk,200s,"2022-09-10 16:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/6Z7QL3OHC0Qh6c4UTPPstk
survivin',Bastille,survivin',GBUM72003947,spotify,1lwvJQGhdq6Kyr4BBquf23,173s,"2022-11-15 21:03",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/1lwvJQGhdq6Kyr4BBquf23
"No Bad Days",Bastille,"Give Me The Future + Dreams Of The Past",GBUM72104384,spotify,7FACU978dnPoFxWFynT75t,185s,"2022-11-15 21:03",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/7FACU978dnPoFxWFynT75t
"Quarter Past Midnight",Bastille,"Quarter Past Midnight",GBUM71801713,spotify,1etiUDkISHELzQGMY79ryt,202s,"2022-11-15 22:07",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/1etiUDkISHELzQGMY79ryt
"Steal My Kisses","Ben Harper And The Innocent Criminals","Burn To Shine",USVI29900131,spotify,4cIwg5VY8Lo1NYwq7llOth,245s,"2022-09-20 20:26",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/4cIwg5VY8Lo1NYwq7llOth
"Hey Leonardo (She Likes Me for Me)","Blessid Union Of Souls","Walking Off the Buzz",USVT19900003,spotify,6xP5TGWu1GBEHjMBmHRbjT,207s,"2022-11-15 21:03",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/6xP5TGWu1GBEHjMBmHRbjT
"All The Small Things",blink-182,"Enema Of The State",USMC19959123,spotify,2m1hi0nfMR9vdGC8UcrnwU,167s,"2022-09-10 16:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/2m1hi0nfMR9vdGC8UcrnwU
"What's My Age Again?",blink-182,"Enema Of The State",USMC19959007,spotify,4LJhJ6DQS7NwE7UKtvcM52,148s,"2022-09-10 16:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/4LJhJ6DQS7NwE7UKtvcM52
EDGING,blink-182,EDGING,USSM12209690,spotify,2wVWGFVkL5I3JGsoWBx2AZ,152s,"2022-10-25 01:49",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/2wVWGFVkL5I3JGsoWBx2AZ
Banquet,"Bloc Party","Silent Alarm",GBDNH0400385,spotify,2YxXuCdbUpil3P7tRjhW1t,197s,"2022-09-10 16:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/2YxXuCdbUpil3P7tRjhW1t
Run-Around,"Blues Traveler",Four,USAM19400296,spotify,500Tkm3vJmVtdUwdCVxCTb,280s,"2022-11-15 21:03",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/500Tkm3vJmVtdUwdCVxCTb
"Monster Mash","Bobby ""Boris"" Pickett, The Crypt-Kickers","The Original Monster Mash",GBBBA7360050,spotify,0xxZY5C9xxij3D1HkzbnfC,192s,"2022-11-15 21:03",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/0xxZY5C9xxij3D1HkzbnfC
"The Great Escape","Boys Like Girls","Boys Like Girls",USSM10603069,spotify,56Tl3UgyZTqfZtvFNS31wm,207s,"2022-11-15 21:03",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/56Tl3UgyZTqfZtvFNS31wm
"Secret Garden","Bruce Springsteen","Greatest Hits",USSM19500017,spotify,68uuz61IqrSJjO6ffO3yHc,267s,"2022-11-15 21:03",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/68uuz61IqrSJjO6ffO3yHc
"Electric Love",BØRNS,Dopamine,USUM71416307,spotify,2GiJYvgVaD2HtM8GqD9EgQ,218s,"2022-09-10 16:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/2GiJYvgVaD2HtM8GqD9EgQ
"Jerk It Out",Caesars,"Love For The Streets",SEVBU0200002,spotify,5XMjXjwCkJVmk0AHm7z8IV,196s,"2022-10-25 01:49",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/5XMjXjwCkJVmk0AHm7z8IV
"Tek It",Cafuné,Running,QM24S1926168,spotify,751srcHf5tUqcEa9pRCQwP,192s,"2022-11-15 21:03",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/751srcHf5tUqcEa9pRCQwP
"Ain't No Rest for the Wicked","Cage The Elephant","Cage The Elephant (Expanded Edition)",USJI10900260,spotify,3Pzh926pXggbMe2ZpXyMV7,175s,"2022-09-10 16:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/3Pzh926pXggbMe2ZpXyMV7
"Short Skirt / Long Jacket",CAKE,"Comfort Eagle",USSM10104611,spotify,3OOFEF20WqtsUPcRbPY3L7,204s,"2022-09-10 16:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/3OOFEF20WqtsUPcRbPY3L7
"Black Hole Sun - Recorded Live At Red Robinson Show Theatre, Vancouver, Canada on April 30, 2011","Chris Cornell","Acoustic Rock",USUG11101210,spotify,3egnL9xhoUH8lbXw6morFm,278s,"2022-10-08 19:41",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/3egnL9xhoUH8lbXw6morFm
"Two Hearts","Chris Isaak","San Francisco Days",USRE19900604,spotify,4s33OWdJwxpD4Va3XgAS1K,215s,"2022-11-15 21:03",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/4s33OWdJwxpD4Va3XgAS1K
"Better Days (And the Bottom Drops Out)","Citizen King","Mobile Estates",USWB19801111,spotify,460Wn6Dq2uMviG5nPXtPnb,207s,"2022-09-10 16:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/460Wn6Dq2uMviG5nPXtPnb
Bubbly,"Colbie Caillat",Coco,USUM70736197,spotify,0rFOs9paloAvEtzwDX1Kmc,196s,"2022-09-10 16:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/0rFOs9paloAvEtzwDX1Kmc
First,"Cold War Kids","Hold My Home",USCJ81401258,spotify,3omXshBamrREltcf24gYDC,200s,"2022-09-10 16:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/3omXshBamrREltcf24gYDC
Clocks,Coldplay,"A Rush of Blood to the Head",GBAYE0200771,spotify,0BCPKOYdS2jbQ8iyB56Zns,308s,"2022-09-10 16:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/0BCPKOYdS2jbQ8iyB56Zns
Trouble,Coldplay,Parachutes,GBAYE0000560,spotify,0R8P9KfGJCDULmlEoBagcO,273s,"2022-09-10 16:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/0R8P9KfGJCDULmlEoBagcO
Yellow,Coldplay,Parachutes,GBAYE0000267,spotify,3AJwUDP919kvQ9QcozQPxg,267s,"2022-09-10 16:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg
"The Scientist",Coldplay,"A Rush of Blood to the Head",GBAYE0200772,spotify,75JFxkI2RXiU7L9VXzMkle,310s,"2022-09-10 16:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/75JFxkI2RXiU7L9VXzMkle
"Viva La Vida",Coldplay,"Viva La Vida or Death and All His Friends",GBAYE0800265,spotify,1mea3bSkSGXuIRvnydlB5b,242s,"2022-10-25 01:49",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/1mea3bSkSGXuIRvnydlB5b
Magic,Coldplay,"Ghost Stories",GBAYE1400206,spotify,23khhseCLQqVMCIT1WMAns,285s,"2022-11-15 21:03",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/23khhseCLQqVMCIT1WMAns
"Viva La Vida - Live from Spotify London",Coldplay,"Live from Spotify London",GBAYE1601837,spotify,6qt0IWS8y6yGR6gNTEmQzj,234s,"2022-11-15 21:03",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/6qt0IWS8y6yGR6gNTEmQzj
December,"Collective Soul","Collective Soul",USAT29500015,spotify,3yi27cGUFPTQUdWZV9nV67,285s,"2022-09-10 16:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/3yi27cGUFPTQUdWZV9nV67
"The World I Know","Collective Soul","Collective Soul",USAT29500011,spotify,4beuBXU4k3YWwVKm0PpWhv,255s,"2022-09-10 16:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/4beuBXU4k3YWwVKm0PpWhv
"Rule No. 1","Collective Soul",Vibrating,US7CU2000042,spotify,4ezU7KQhEdYb9EYAJm9opr,231s,"2022-09-10 16:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/4ezU7KQhEdYb9EYAJm9opr
Shine,"Collective Soul","Hints, Allegations & Things Left Unsaid",USAT29300016,spotify,6emdJW80SbDBMuHci8PJJn,306s,"2022-09-10 16:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/6emdJW80SbDBMuHci8PJJn
"The World I Know","Collective Soul","Collective Soul",USAT29500011,spotify,1HSVpIU0XU1WuwiBLBWAZd,255s,"2022-09-20 20:26",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/1HSVpIU0XU1WuwiBLBWAZd
Shine,"Collective Soul","Hints, Allegations & Things Left Unsaid",USAT29300016,spotify,77YKoNCjP5hWqiXMRG2839,306s,"2022-10-08 19:41",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/77YKoNCjP5hWqiXMRG2839
December,"Collective Soul","Collective Soul",USAT29500015,spotify,7GNLvWRG9itrCk0zarYKmQ,285s,"2022-10-25 01:49",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/7GNLvWRG9itrCk0zarYKmQ
"Brimful Of Asha - Norman Cook Remix Single Version",Cornershop,"The Greatest Hits: Why Try Harder",GBBKT9700126,spotify,6gbdLLUhocAjThL3GvV6Lx,241s,"2022-09-20 20:26",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/6gbdLLUhocAjThL3GvV6Lx
Hanginaround,"Counting Crows","This Desert Life",USIR19915018,spotify,0LWINYMC4s8QTdDSb1B3Q3,247s,"2022-09-10 16:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/0LWINYMC4s8QTdDSb1B3Q3
"Accidentally In Love","Counting Crows","Accidentally In Love",USIR10400291,spotify,4ccM2xBxicGigjLqt6A0YY,189s,"2022-09-10 16:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/4ccM2xBxicGigjLqt6A0YY
"Mr. Jones","Counting Crows","August And Everything After",USIR10000287,spotify,5DiXcVovI0FcY2s0icWWUu,272s,"2022-09-10 16:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/5DiXcVovI0FcY2s0icWWUu
"Rain King","Counting Crows","August And Everything After",USIR10000291,spotify,7s4JCyY8YIZSsKvtwStBQ6,256s,"2022-09-10 16:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/7s4JCyY8YIZSsKvtwStBQ6
Colorblind,"Counting Crows","This Desert Life",USIR19915025,spotify,2a7NRfaVMfob2BvkBmOxA0,203s,"2022-10-25 01:49",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/2a7NRfaVMfob2BvkBmOxA0
"Big Yellow Taxi","Counting Crows, Vanessa Carlton","Hard Candy",USIR10211754,spotify,4O4dhPrjcw7GSLNafNydmb,226s,"2022-09-10 16:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/4O4dhPrjcw7GSLNafNydmb
Sugarhigh,"Coyote Shivers","Empire Records (Original Motion Picture Soundtrack)",USAM10400325,spotify,7ztostfOVw4ecVpVQVj9sx,158s,"2022-10-25 01:49",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/7ztostfOVw4ecVpVQVj9sx
Low,Cracker,"Kerosene Hat",USVI29300006,spotify,6ctbCIikHbC6tSOL1rewQX,276s,"2022-09-10 16:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/6ctbCIikHbC6tSOL1rewQX
"Shake Some Action",Cracker,"Clueless / Original Motion Picture Soundtrack",USVI29501146,spotify,0Igv1GibayCiJ5WAQF4Ukn,265s,"2022-10-25 01:49",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/0Igv1GibayCiJ5WAQF4Ukn
Higher,Creed,"Human Clay",USWU39909053,spotify,1ZozJfi8u9cO2Ob8KwiwNT,317s,"2022-09-10 16:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/1ZozJfi8u9cO2Ob8KwiwNT
"One More Time","Daft Punk",Discovery,GBDUW0000053,spotify,0DiWol3AO6WpXZgp0goxAV,320s,"2022-09-10 16:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/0DiWol3AO6WpXZgp0goxAV
"Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit","Daft Punk, Pharrell Williams, Nile Rodgers","Get Lucky (feat. Pharrell Williams & Nile Rodgers) [Radio Edit]",USQX91300809,spotify,2Foc5Q5nqNiosCNqttzHof,248s,"2022-09-10 16:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/2Foc5Q5nqNiosCNqttzHof
"Bad Day","Daniel Powter","Daniel Powter",USWB10401971,spotify,0mUyMawtxj1CJ76kn9gIZK,234s,"2022-09-10 16:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/0mUyMawtxj1CJ76kn9gIZK
"Bad Day - Acoustic Version","Daniel Powter","Verão Acústico",USWB10503611,spotify,7ulNaXnJzHbMhJPBDIMFNd,217s,"2022-11-15 21:03",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/7ulNaXnJzHbMhJPBDIMFNd
"Hands Down","Dashboard Confessional","A Mark, A Mission, A Brand, A Scar",USVR90338120,spotify,6yVSp9H2STyLeOs7pjy2w4,187s,"2022-09-10 16:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/6yVSp9H2STyLeOs7pjy2w4
"It's Not Over",Daughtry,"Daughtry (Deluxe Edition)",GBCTA0600228,spotify,234RqTZmnDTnxWlVciXHLD,215s,"2022-09-10 16:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/234RqTZmnDTnxWlVciXHLD
Home,Daughtry,"Daughtry (Deluxe Edition)",GBCTA0600230,spotify,2mobr1UlKjhxDTOVqng3jw,256s,"2022-09-10 16:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/2mobr1UlKjhxDTOVqng3jw
"Over You",Daughtry,"Daughtry (Deluxe Edition)",GBCTA0600229,spotify,2R5uY1gbIKzGB1yAOH067s,205s,"2022-09-20 20:26",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/2R5uY1gbIKzGB1yAOH067s
"Crash into Me","Dave Matthews Band",Crash,USRC19603151,spotify,1HL3yEnYq8LEyFQ3QegA5V,316s,"2022-09-10 16:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/1HL3yEnYq8LEyFQ3QegA5V
