title,artist,album,isrc,platform,duration,addedDate,addedBy,url
"I Ran (So Far Away)","A Flock Of Seagulls","Grand Theft Auto Vice City OST (Greatest Hits)",GBAHK0500042,spotify,220s,"2021-04-15 03:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/2Rwux3fRY1xxl167muIo93
"Dancing Queen",ABBA,Arrival,SEAYD7601020,spotify,231s,"2021-04-15 03:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/4NtUY5IGzHCaqfZemmAu56
"Back In Black",AC/DC,"Back In Black",AUAP08000046,spotify,255s,"2021-04-15 03:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/08mG3Y1vljYA6bvDt4Wqkj
"You Shook Me All Night Long",AC/DC,"Back In Black",AUAP08000047,spotify,210s,"2021-04-15 03:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/2SiXAy7TuUkycRVbbWDEpo
"Highway to Hell",AC/DC,"Highway to Hell",AUAP07900028,spotify,208s,"2021-08-20 19:49",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/2zYzyRzz6pRmhPzyfMEC8s
Thunderstruck,AC/DC,"The Razors Edge",AUAP09000014,spotify,293s,"2022-04-05 07:45",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/57bgtoPSgt236HzfBOd8kj
"New York Groove","Ace Frehley","Kiss: Ace Frehley",USMR17800036,spotify,184s,"2021-12-21 23:00",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/1BvpeiApX8qhof8Pmi3YlH
"Back In the Saddle",Aerosmith,Rocks,USSM19930826,spotify,280s,"2021-04-15 03:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/0ZGLuduCPjgWY1n85ykgMe
"Sweet Emotion",Aerosmith,"Toys In The Attic",USSM19906482,spotify,274s,"2021-04-15 03:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/24NwBd5vZ2CK8VOQVnqdxr
"Walk This Way",Aerosmith,"Toys In The Attic",USSM19906481,spotify,220s,"2021-04-15 03:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/5SZ6zX4rOrEQferfFC2MfP
"Roll On (Eighteen Wheeler)",Alabama,"Roll On",USRN18300003,spotify,263s,"2022-09-10 16:43",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/31LOzuiEqzfMZ6f8nujDVd
"Summertime Blues","Alan Jackson","16 Biggest Hits",USAN20000189,spotify,192s,"2022-05-30 00:15",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/3hV8Gvijx6cVv339o3uCSK
"School's Out","Alice Cooper","School's Out",USWB19900782,spotify,210s,"2021-06-17 19:17",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/5Z8EDau8uNcP1E8JvmfkZe
"No Roots","Alice Merton","No Roots",DEVQ71600001,spotify,236s,"2021-06-01 18:49",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/4CdfFYzaAJ0y0beKzmgJSn
"Smooth Criminal","Alien Ant Farm",Anthology,USDW10022224,spotify,209s,"2021-04-15 03:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/5z6xHjCZr7a7AIcy8sPBKy
"Midnight Rider","Allman Brothers Band","Idlewild South (Deluxe Edition Remastered)",USPR37030030,spotify,180s,"2021-04-15 03:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/1hHGUdFaiJHw9hVZGJWYO2
Jessica,"Allman Brothers Band",Dreams,USPG19190006,spotify,451s,"2021-04-15 03:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/2tVQhBSJ1SQtb4gX0taaiR
"Ramblin' Man","Allman Brothers Band",Dreams,USPR37330006,spotify,289s,"2021-04-15 03:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/5cfYurP1XKldMBtvBBJiTs
Southbound,"Allman Brothers Band",Dreams,USA027300050,spotify,311s,"2021-08-03 22:50",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/4Um5JeJZ4GeRb8JVjuRdH9
"Sister Golden Hair",America,Hearts,USWB19901801,spotify,200s,"2021-04-15 03:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/5VSAonaAPhhGn0G7hMYwWK
"Ventura Highway","America, George Martin",Homecoming,USWB19901795,spotify,211s,"2021-04-15 03:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/4IU1RL4BKvFyXtbTwaHAvW
"Best Day Of My Life","American Authors","Oh, What A Life",USUM71302187,spotify,194s,"2021-04-15 03:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/5Hroj5K7vLpIG4FNCRIjbP
"Good To Be Alive (Hallelujah)","Andy Grammer","Magazines Or Novels (Deluxe Edition)",USSC61500058,spotify,189s,"2022-02-14 19:40",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/3gHc5XTAywdFQUsHS6DD7G
"Honey, I'm Good.","Andy Grammer","Magazines Or Novels",USZXT1400267,spotify,199s,"2022-05-30 00:15",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/4MflGTO2ZTcSQ12bWcyRgI
"Freeway of Love - Single Mix","Aretha Franklin","Who's Zoomin' Who? (Expanded Edition)",USAR10200592,spotify,247s,"2021-04-15 03:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/6Uhmf736HHPm5i9wrNyZuR
Respect,"Aretha Franklin","I Never Loved a Man the Way I Love You",USAT20801240,spotify,148s,"2022-09-10 16:43",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/7s25THrKz86DM225dOYwnr
"Turn up the Radio",Autograph,"Sign In Please",USRC18404644,spotify,279s,"2021-04-15 03:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/7u0b4DthVvd2F2EzCiOx0Z
"Pick Up the Pieces","Average White Band",AWB,USAT20106483,spotify,240s,"2021-04-15 03:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/2x1LQq8lsUzAA2wNj8yjC9
"Roll On Down The Highway","Bachman-Turner Overdrive","Not Fragile",USPR37408027,spotify,238s,"2021-04-15 03:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/05mzctclS0ZqqTLEiDIGkt
"Takin' Care Of Business","Bachman-Turner Overdrive","Bachman-Turner Overdrive II",USMR17387011,spotify,290s,"2021-04-15 03:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/0lzNXoZINVBLHWNIxKxWOo
"Cruel Summer",Bananarama,"Bananarama (Collector's Edition)",GBAAP9500222,spotify,215s,"2022-05-30 00:15",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/2EGaDf0cPX789H3LNeB03D
"One Week","Barenaked Ladies","Stunt (20th Anniversary Edition)",USRE19800261,spotify,170s,"2021-04-15 03:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/29hBRadFZf9QTGRHZmxm65
Sabotage,"Beastie Boys","Ill Communication",USCA29400020,spotify,178s,"2021-04-15 03:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/0Puj4YlTm6xNzDDADXHMI9
"Fight For Your Right","Beastie Boys","Licensed To Ill",USDJ28600007,spotify,209s,"2021-04-15 03:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/5NLuC70kZQv8q34QyQa1DP
"Stayin' Alive - From ""Saturday Night Fever"" Soundtrack","Bee Gees",Greatest,NLF057790034,spotify,285s,"2021-04-15 03:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/3mRM4NM8iO7UBqrSigCQFH
"Brand New","Ben Rector","Brand New",QMEMQ1500031,spotify,244s,"2021-04-15 03:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/07m8PuXxxv5J4qPEDq6ZkK
Drive,"Ben Rector",Magic,QZCPW1800029,spotify,197s,"2021-04-15 03:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/1Yqovy9hlOeV91IY3Bhcf2
"In A Big Country","Big Country","The Crossing",GBF088300765,spotify,284s,"2021-04-15 03:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/1tAFvq63jO3n9WaDCZPJNh
"Lovely Day","Bill Withers",Menagerie,USSM10207844,spotify,255s,"2021-04-15 03:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/0bRXwKfigvpKZUurwqAlEh
"White Wedding - Pt. 1","Billy Idol","Billy Idol",USCH30100008,spotify,252s,"2021-04-15 03:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/1gzIbdFnGJ226LTl0Cn2SX
"Rebel Yell","Billy Idol","Rebel Yell",USCH38400024,spotify,289s,"2021-04-15 03:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/4TIJ7zSBNejpoIPaWpWRKc
"Dancing with Myself - 2001 Remaster","Billy Idol, Generation X",Anthology,GBAYK0100065,spotify,227s,"2021-04-15 03:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/7fJnj6rso7N95oztvsxrWD
"I Go to Extremes","Billy Joel","Storm Front",USSM18900214,spotify,263s,"2021-04-15 03:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/16LYB0chkPiblx33djiNTt
"We Didn't Start the Fire","Billy Joel","Storm Front",USSM18900217,spotify,288s,"2021-04-15 03:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/3Cx4yrFaX8CeHwBMReOWXI
"It's Still Rock and Roll to Me","Billy Joel","Glass Houses",USSM18000211,spotify,176s,"2021-04-15 03:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/64UioB4Nmwgn2f4cbIpAkl
"Only the Good Die Young","Billy Joel","The Stranger (Legacy Edition)",USSM17700374,spotify,236s,"2021-11-24 23:07",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/1xOXXYh6lTW8laxlW7JP2J
"Uptown Girl","Billy Joel","An Innocent Man",USSM18300270,spotify,198s,"2022-09-10 16:43",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/5zA8vzDGqPl2AzZkEYQGKh
"Get Outta My Dreams, Get Into My Car","Billy Ocean","The Very Best of Billy Ocean",GBAHK9700111,spotify,284s,"2021-04-15 03:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/2D4D3hiOf5U0W6SvJoCQph
