title;artist;album;isrc;addedDate;addedBy;duration;url
"I Ran (So Far Away)";"A Flock Of Seagulls";"Grand Theft Auto Vice City OST (Greatest Hits)";GBAHK0500042;"2021-04-15 03:33";sj1bdpnkh9q3knr3ss718da1d;220s;https://open.spotify.com/track/2Rwux3fRY1xxl167muIo93
"Dancing Queen";ABBA;Arrival;SEAYD7601020;"2021-04-15 03:33";sj1bdpnkh9q3knr3ss718da1d;231s;https://open.spotify.com/track/4NtUY5IGzHCaqfZemmAu56
"Back In Black";AC/DC;"Back In Black";AUAP08000046;"2021-04-15 03:33";sj1bdpnkh9q3knr3ss718da1d;255s;https://open.spotify.com/track/08mG3Y1vljYA6bvDt4Wqkj
"Highway to Hell";AC/DC;"Highway to Hell";AUAP07900028;"2021-08-20 19:49";sj1bdpnkh9q3knr3ss718da1d;208s;https://open.spotify.com/track/2zYzyRzz6pRmhPzyfMEC8s
Thunderstruck;AC/DC;"The Razors Edge";AUAP09000014;"2022-04-05 07:45";sj1bdpnkh9q3knr3ss718da1d;293s;https://open.spotify.com/track/57bgtoPSgt236HzfBOd8kj
"You Shook Me All Night Long";AC/DC;"Back In Black";AUAP08000047;"2021-04-15 03:33";sj1bdpnkh9q3knr3ss718da1d;210s;https://open.spotify.com/track/2SiXAy7TuUkycRVbbWDEpo
"New York Groove";"Ace Frehley";"Kiss: Ace Frehley";USMR17800036;"2021-12-21 23:00";sj1bdpnkh9q3knr3ss718da1d;184s;https://open.spotify.com/track/1BvpeiApX8qhof8Pmi3YlH
"Back In the Saddle";Aerosmith;Rocks;USSM19930826;"2021-04-15 03:33";sj1bdpnkh9q3knr3ss718da1d;280s;https://open.spotify.com/track/0ZGLuduCPjgWY1n85ykgMe
"Dude (Looks Like A Lady)";Aerosmith;"Permanent Vacation";USIR10000454;"2021-04-15 03:33";sj1bdpnkh9q3knr3ss718da1d;266s;https://open.spotify.com/track/6gQUbFwwdYXlKdmqRoWKJe
"Sweet Emotion";Aerosmith;"Toys In The Attic";USSM19906482;"2021-04-15 03:33";sj1bdpnkh9q3knr3ss718da1d;274s;https://open.spotify.com/track/24NwBd5vZ2CK8VOQVnqdxr
"Walk This Way";Aerosmith;"Toys In The Attic";USSM19906481;"2021-04-15 03:33";sj1bdpnkh9q3knr3ss718da1d;220s;https://open.spotify.com/track/5SZ6zX4rOrEQferfFC2MfP
"Summertime Blues";"Alan Jackson";"16 Biggest Hits";USAN20000189;"2022-05-30 00:15";sj1bdpnkh9q3knr3ss718da1d;192s;https://open.spotify.com/track/3hV8Gvijx6cVv339o3uCSK
"School's Out";"Alice Cooper";"School's Out";USWB19900782;"2021-06-17 19:17";sj1bdpnkh9q3knr3ss718da1d;210s;https://open.spotify.com/track/5Z8EDau8uNcP1E8JvmfkZe
"No Roots";"Alice Merton";"No Roots";DEVQ71600001;"2021-06-01 18:49";sj1bdpnkh9q3knr3ss718da1d;236s;https://open.spotify.com/track/4CdfFYzaAJ0y0beKzmgJSn
"Smooth Criminal";"Alien Ant Farm";Anthology;USDW10022224;"2021-04-15 03:33";sj1bdpnkh9q3knr3ss718da1d;209s;https://open.spotify.com/track/5z6xHjCZr7a7AIcy8sPBKy
Jessica;"Allman Brothers Band";Dreams;USPG19190006;"2021-04-15 03:33";sj1bdpnkh9q3knr3ss718da1d;451s;https://open.spotify.com/track/2tVQhBSJ1SQtb4gX0taaiR
"Midnight Rider";"Allman Brothers Band";"Idlewild South (Deluxe Edition Remastered)";USPR37030030;"2021-04-15 03:33";sj1bdpnkh9q3knr3ss718da1d;180s;https://open.spotify.com/track/1hHGUdFaiJHw9hVZGJWYO2
"Ramblin' Man";"Allman Brothers Band";Dreams;USPR37330006;"2021-04-15 03:33";sj1bdpnkh9q3knr3ss718da1d;289s;https://open.spotify.com/track/5cfYurP1XKldMBtvBBJiTs
Southbound;"Allman Brothers Band";Dreams;USA027300050;"2021-08-03 22:50";sj1bdpnkh9q3knr3ss718da1d;311s;https://open.spotify.com/track/4Um5JeJZ4GeRb8JVjuRdH9
"Sister Golden Hair";America;Hearts;USWB19901801;"2021-04-15 03:33";sj1bdpnkh9q3knr3ss718da1d;200s;https://open.spotify.com/track/5VSAonaAPhhGn0G7hMYwWK
"Ventura Highway";"America, George Martin";Homecoming;USWB19901795;"2021-04-15 03:33";sj1bdpnkh9q3knr3ss718da1d;211s;https://open.spotify.com/track/4IU1RL4BKvFyXtbTwaHAvW
"Best Day Of My Life";"American Authors";"Oh, What A Life";USUM71302187;"2021-04-15 03:33";sj1bdpnkh9q3knr3ss718da1d;194s;https://open.spotify.com/track/5Hroj5K7vLpIG4FNCRIjbP
"Good To Be Alive (Hallelujah)";"Andy Grammer";"Magazines Or Novels (Deluxe Edition)";USSC61500058;"2022-02-14 19:40";sj1bdpnkh9q3knr3ss718da1d;189s;https://open.spotify.com/track/3gHc5XTAywdFQUsHS6DD7G
"Honey, I'm Good.";"Andy Grammer";"Magazines Or Novels";USZXT1400267;"2022-05-30 00:15";sj1bdpnkh9q3knr3ss718da1d;199s;https://open.spotify.com/track/4MflGTO2ZTcSQ12bWcyRgI
"Freeway of Love - Single Mix";"Aretha Franklin";"Who's Zoomin' Who? (Expanded Edition)";USAR10200592;"2021-04-15 03:33";sj1bdpnkh9q3knr3ss718da1d;247s;https://open.spotify.com/track/6Uhmf736HHPm5i9wrNyZuR
"Turn up the Radio";Autograph;"Sign In Please";USRC18404644;"2021-04-15 03:33";sj1bdpnkh9q3knr3ss718da1d;279s;https://open.spotify.com/track/7u0b4DthVvd2F2EzCiOx0Z
"Pick Up the Pieces";"Average White Band";AWB;USAT20106483;"2021-04-15 03:33";sj1bdpnkh9q3knr3ss718da1d;240s;https://open.spotify.com/track/2x1LQq8lsUzAA2wNj8yjC9
Levels;Avicii;Levels;SEUM71100961;"2021-04-15 03:33";sj1bdpnkh9q3knr3ss718da1d;339s;https://open.spotify.com/track/6dfXwa0dI1sBm4CIePuOYM
Dynamite;BTS;Dynamite;QM7282022872;"2021-04-15 03:33";sj1bdpnkh9q3knr3ss718da1d;199s;https://open.spotify.com/track/0v1x6rN6JHRapa03JElljE
"Roll On Down The Highway";"Bachman-Turner Overdrive";"Not Fragile";USPR37408027;"2021-04-15 03:33";sj1bdpnkh9q3knr3ss718da1d;238s;https://open.spotify.com/track/05mzctclS0ZqqTLEiDIGkt
"Takin' Care Of Business";"Bachman-Turner Overdrive";"Bachman-Turner Overdrive II";USMR17387011;"2021-04-15 03:33";sj1bdpnkh9q3knr3ss718da1d;290s;https://open.spotify.com/track/0lzNXoZINVBLHWNIxKxWOo
"Larger Than Life";"Backstreet Boys";Millennium;USJI19910620;"2021-04-15 03:33";sj1bdpnkh9q3knr3ss718da1d;233s;https://open.spotify.com/track/6sbXGUn9V9ZaLwLdOfpKRE
"Tarzan Boy";Baltimora;"Living In The Background";ITD008500001;"2022-02-14 19:40";sj1bdpnkh9q3knr3ss718da1d;379s;https://open.spotify.com/track/273uCXd7NPrInaiNqtkOrA
"Cruel Summer";Bananarama;"Bananarama (Collector's Edition)";GBAAP9500222;"2022-05-30 00:15";sj1bdpnkh9q3knr3ss718da1d;215s;https://open.spotify.com/track/2EGaDf0cPX789H3LNeB03D
"Do They Know It's Christmas? - 1984 Version";"Band Aid";"Do They Know It's Christmas?";GBF088400001;"2021-12-21 23:00";sj1bdpnkh9q3knr3ss718da1d;223s;https://open.spotify.com/track/0247StOpd3AkeBQzANX4Zf
"One Week";"Barenaked Ladies";"Stunt (20th Anniversary Edition)";USRE19800261;"2021-04-15 03:33";sj1bdpnkh9q3knr3ss718da1d;170s;https://open.spotify.com/track/29hBRadFZf9QTGRHZmxm65
"Fight For Your Right";"Beastie Boys";"Licensed To Ill";USDJ28600007;"2021-04-15 03:33";sj1bdpnkh9q3knr3ss718da1d;209s;https://open.spotify.com/track/5NLuC70kZQv8q34QyQa1DP
Sabotage;"Beastie Boys";"Ill Communication";USCA29400020;"2021-04-15 03:33";sj1bdpnkh9q3knr3ss718da1d;178s;https://open.spotify.com/track/0Puj4YlTm6xNzDDADXHMI9
"Stayin' Alive - From ""Saturday Night Fever"" Soundtrack";"Bee Gees";Greatest;NLF057790034;"2021-04-15 03:33";sj1bdpnkh9q3knr3ss718da1d;285s;https://open.spotify.com/track/3mRM4NM8iO7UBqrSigCQFH
"Heaven Is A Place On Earth";"Belinda Carlisle";"Heaven On Earth";USMC18723313;"2022-01-14 04:43";sj1bdpnkh9q3knr3ss718da1d;247s;https://open.spotify.com/track/58mFu3oIpBa0HLNeJIxsw3
