title,artist,album,isrc,platform,duration,addedDate,addedBy,url
"Are You Gonna Be My Girl",Jet,"Get Born",USEE10340526,spotify,214s,"2021-04-15 03:30",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/305WCRhhS10XUcH6AEwZk6
"As It Was","Harry Styles","As It Was",USSM12200612,spotify,167s,"2022-04-12 07:54",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/4LRPiXqCikLlN15c3yImP7
"Astronaut (Something About Your Love)",Mansionair,Shadowboxer,USYAH1700133,spotify,203s,"2022-08-26 21:49",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/1XXqmnOgL9k9lcRT3hncTf
Avalanche,"WALK THE MOON","TALKING IS HARD",USRC11402584,spotify,219s,"2022-08-26 21:49",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/3JxaZPq4UjkOaxnpyMUtAC
BLACKOUT,Turnstile,"GLOW ON",NLA322100050,spotify,173s,"2022-08-10 16:54",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/0bGImSqDB2ebdeoCidUC8o
BRIGHTSIDE,"The Lumineers",BRIGHTSIDE,USDMG2224901,spotify,230s,"2021-09-24 01:20",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/1TX0ImiGMYiikRash29a2b
"Back Against the Wall","Cage The Elephant","Cage The Elephant (Expanded Edition)",USJI10900295,spotify,228s,"2021-04-15 03:30",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/0vz64VTiPPBpcmla0QvAI9
"Bad Decisions","The Strokes","Bad Decisions",USRC11902729,spotify,293s,"2021-04-15 03:30",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/6e2pJqucDMxbp061B40r6O
"Bad Dream",Cannons,"Bad Dream",USSM12100919,spotify,203s,"2021-04-15 03:30",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/2IwbIGkquI55VOzcWUg8fg
Bang!,AJR,Bang!,QMRSZ2000128,spotify,171s,"2021-04-15 03:30",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/53BHUFdQphHiZUUG3nx9zn
"Bed Head","Manchester Orchestra","Bed Head",USC4R2005025,spotify,244s,"2021-04-15 03:30",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/7oeyJeknYRMuD9ufVzyglS
Beggin',Måneskin,Chosen,ITB001700846,spotify,212s,"2022-08-10 16:54",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
"Believe - Moon Version","The Bravery","The Sun And The Moon Complete",USUM70804210,spotify,200s,"2022-08-26 21:49",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/7MTYSchnlSeTCYo5NIuSYS
Believer,"Imagine Dragons",Evolve,USUM71700626,spotify,204s,"2022-02-25 20:39",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
Beloved,"Mumford & Sons",Delta,GBUM71805627,spotify,265s,"2021-04-15 03:30",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/5V0nHhlYIjUMfcSoJ5ziRD
"Best of You","Foo Fighters","In Your Honor",USRW30500001,spotify,256s,"2021-04-15 03:30",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/5FZxsHWIvUsmSK1IAvm2pp
"Beverly Hills",Weezer,"Make Believe",USIR10500448,spotify,196s,"2021-04-15 03:30",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/1yKu2MhpwzDXXH2tzG6xoa
"Black Madonna","Cage The Elephant","Social Cues",USRC11803825,spotify,227s,"2021-04-15 03:30",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/4Y6GIje3GErVRIq1Ff5BJq
"Black Mambo","Glass Animals",ZABA,GBUM71303835,spotify,249s,"2021-04-15 03:30",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/63OC8cNa4ZnFB3bbvbWCOc
"Black Summer","Red Hot Chili Peppers","Black Summer",USWB12105880,spotify,232s,"2022-02-08 02:02",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/3a94TbZOxhkI9xuNwYL53b
"Blood Runs Red","Matt Maeson","Blood Runs Red",USAT22201829,spotify,219s,"2022-05-30 00:07",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/3KNa3a7r6bw3SGI27Syuxn
Bones,"Imagine Dragons",Bones,USUM72201759,spotify,165s,"2022-03-30 23:22",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/0HqZX76SFLDz2aW8aiqi7G
Borderline,"Tame Impala",Borderline,AUUM71900285,spotify,274s,"2022-04-05 07:40",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/3O8X1DE9btbzy4UH9cSX9a
"Boulevard of Broken Dreams","Green Day","Greatest Hits: God's Favorite Band",USRE10400985,spotify,262s,"2022-08-10 16:54",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/5GorCbAP4aL0EJ16frG2hd
"Brad Pitt",COIN,"Brad Pitt",QZJ842001482,spotify,216s,"2022-05-30 00:07",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/5F1TZVziCp4TuXIMCsIxwM
Brazil,"Declan McKenna","What Do You Think About the Car?",GBARL1500856,spotify,252s,"2021-04-15 03:30",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/4sNG6zQBmtq7M8aeeKJRMQ
Broken,"Alfie Templeman",Broken,GBKPL2172064,spotify,193s,"2022-02-08 02:02",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/1jA53SLb7NDWeWZU74Uvoo
"Burn The House Down",AJR,"The Click (Deluxe Edition)",QMRSZ1702960,spotify,212s,"2021-04-15 03:30",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/0TkJIyL69RAUIbNwGub6uR
CDMX,"Last Dinosaurs",CDMX,CAN112200251,spotify,197s,"2022-08-10 16:54",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/0ruxRhBQwrVQAXoTTXRt5Z
"Cameras & Coastlines",Smallpools,"Cameras & Coastlines",QZNJX2209913,spotify,159s,"2022-08-26 21:49",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/4krx53ym2jljK4jlR4VXXq
Campus,"Vampire Weekend","Vampire Weekend",GBBKS0700530,spotify,176s,"2022-03-30 23:22",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/7ui9Qq4JcPGcd3xWOeXhHp
"Can I Call You Tonight?",Dayglow,Fuzzybrain,TCADL1825079,spotify,279s,"2021-04-15 03:30",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/64lsIF5pw0sJY0gV5kz0RN
"Can You Handle My Love??","WALK THE MOON","Can You Handle My Love??",USRC12101016,spotify,256s,"2021-07-15 01:58",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/7GKMstqz3UYkFvlX93qCyz
"Cape Cod Kwassa Kwassa","Vampire Weekend","Vampire Weekend",GBBKS0700528,spotify,215s,"2022-07-14 00:26",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/7q4MJZSiqPC16dbhQWxugv
Caution,"The Killers",Caution,USUM72005111,spotify,270s,"2021-04-15 03:30",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/2l8Gq9hNquNgzgv00DftKX
"Cecilia And The Satellite","Andrew McMahon in the Wilderness","Andrew McMahon In The Wilderness",USVG21403647,spotify,224s,"2021-04-15 03:30",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/1MSM3Fo2fvnwVqMcz8Jhjq
Change,Djo,Change,GBKPL2296939,spotify,178s,"2022-08-10 16:54",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/1D7sWofAbWelYs35iRM08U
Chapstick,COIN,Chapstick,QZJ842001241,spotify,193s,"2021-10-22 00:14",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/2c0NslS6dfGp1LT1iXbqyS
Chlorine,"Twenty One Pilots",Trench,USAT21810687,spotify,324s,"2021-04-15 03:30",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/23OXdR7YuUBVWh5hSnYJau
Chocolate,"The 1975","The 1975",GBK3W1000183,spotify,225s,"2021-04-15 03:30",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/44Ljlpy44mHvLJxcYUvTK0
Choke,"I DONT KNOW HOW BUT THEY FOUND ME",Choke,TCADH1774692,spotify,196s,"2022-08-26 21:49",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/37mfTcSlX60JtAvAETytGs
"Chronicles (feat. H.E.R. & Lil Durk)","Cordae, H.E.R., Lil Durk","From a Birds Eye View",USAT22107999,spotify,212s,"2022-08-10 16:54",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/6oOJL3xj8zRz6URS0SwlXC
"Cigarette Daydreams","Cage The Elephant",Melophobia,USRC11301169,spotify,209s,"2021-04-15 03:30",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/2tznHmp70DxMyr2XhWLOW0
Clarity,"Vance Joy",Clarity,USAT22201801,spotify,227s,"2022-04-12 07:54",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/5c6lM2zjAF6MFoD8C1hiBr
"Clearest Blue",CHVRCHES,"Every Open Eye (Special Edition)",GBZN81500005,spotify,234s,"2022-08-26 21:49",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/0eozuFNutbnEbWKOvf4W86
"Clint Eastwood",Gorillaz,Gorillaz,GBAYE0001408,spotify,341s,"2021-04-15 03:30",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/7yMiX7n9SBvadzox8T5jzT
Clocks,Coldplay,"A Rush of Blood to the Head",GBAYE0200771,spotify,308s,"2021-04-15 03:30",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/0BCPKOYdS2jbQ8iyB56Zns
"Close To You",Dayglow,"Close To You",GBKPL2035998,spotify,195s,"2021-04-15 03:30",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/4ReJJcpW8HtVnqzhf6DwNV
"Cloud 9 (feat. Tegan and Sara)","Beach Bunny, Tegan and Sara","Cloud 9 (feat. Tegan and Sara)",USQE92100068,spotify,148s,"2022-08-10 16:54",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/2pGXCabl4UlMiskwh7evDq
"Cold Cold Cold","Cage The Elephant","Tell Me I'm Pretty",USRC11502825,spotify,214s,"2021-04-15 03:30",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/1Q3t9fWvHUXKsMmpD2XpUu
Colorado,"Milky Chance",Colorado,DEVP22100003,spotify,174s,"2021-06-17 19:13",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/0eZmBWVC1HYayrP2fqQ7nu
Colors,"Black Pumas","Black Pumas",USATO1900023,spotify,247s,"2021-04-15 03:30",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/6vaSStNN5NX4nJ4QbRY3S0
Colours,Grouplove,"Never Trust a Happy Song",USAT21101340,spotify,258s,"2021-04-15 03:30",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/6gSKswfcoWvaadqvuMF3Y7
"Come Apart",Fazerdaze,"Come Apart",USBQU2200135,spotify,184s,"2022-08-10 16:54",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/7uDPHQ8ZRfeqwmYGDGYAio
"Come a Little Closer","Cage The Elephant",Melophobia,USRC11301144,spotify,229s,"2021-04-15 03:30",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/4sebUbjqbcgDSwG6PbSGI0
"Coming of Age","Foster The People",Supermodel,USSM11305799,spotify,280s,"2021-05-08 01:56",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/1yzbqrSF0vuaO7nuKYSd6f
Complainer,"Cold War Kids","New Age Norms 1",GBKPL1952563,spotify,220s,"2021-04-15 03:30",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/6ikOGMtTgDxzZLrNuemotc
Compliance,Muse,Compliance,GBAHT2102034,spotify,251s,"2022-03-30 23:22",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/27hktiddJj63mK6gZAQp4q
"Cough Syrup","Young the Giant","Young The Giant (Special Edition)",NLA321090389,spotify,250s,"2021-04-15 03:30",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/1UqhkbzB1kuFwt2iy4h29Q
"Could Have Been Me","The Struts","Everybody Wants",GBUM71304611,spotify,188s,"2021-04-15 03:30",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/3IyCL4Em1GOpNGDf451Hg1
"Cracker Island (feat. Thundercat)","Gorillaz, Thundercat","Cracker Island (feat. Thundercat)",GBAYE1901301,spotify,214s,"2022-06-29 23:37",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/2W3ZpQg9i6lE6kmHbcdu9N
