title;artist;album;isrc;addedDate;addedBy;duration;url
"Out of My League";"Fitz and The Tantrums";"More Than Just a Dream";USAT21300149;"2014-06-11 16:42";friend3001;209s;https://open.spotify.com/track/0i5spxZKedPA2TgGuvJ3AL
"The Walker";"Fitz and The Tantrums";"More Than Just a Dream";USAT21300240;"2014-06-11 16:42";friend3001;233s;https://open.spotify.com/track/79d719EfQQZ7D7nYdgPGEe
HandClap;"Fitz and The Tantrums";HandClap;USAT21600408;"2016-05-01 18:39";friend3001;193s;https://open.spotify.com/track/0y3fi7fknIXOxnkbUgzT3n
"You're Somebody Else";"flora cash";"You're Somebody Else";SEXCG1700102;"2018-09-14 19:33";friend3001;219s;https://open.spotify.com/track/0pdKRp2sUthTPe7RLWpPqQ
"What Kind Of Man";"Florence + The Machine";"What Kind Of Man";GBUM71500289;"2015-03-21 20:16";friend3001;216s;https://open.spotify.com/track/09Ua1o00SlYsiN7Mn3t7ji
"Ship To Wreck";"Florence + The Machine";"Ship To Wreck";GBUM71500288;"2015-05-16 18:42";friend3001;235s;https://open.spotify.com/track/6WFpbFOV9q3Aa1I9tegWNN
Hunger;"Florence + The Machine";Hunger;GBUM71800802;"2018-05-11 16:47";friend3001;215s;https://open.spotify.com/track/6HJcuxVgYjxcYDnPG0ystc
Inhaler;Foals;"Holy Fire";GBAHT1200722;"2013-03-13 17:46";friend3001;293s;https://open.spotify.com/track/3tRqWoZuQtOfG54Vd6nNdq
"My Number";Foals;"Holy Fire";GBAHT1200723;"2013-08-04 22:11";friend3001;241s;https://open.spotify.com/track/4c9WmjVlQMr0s1IjbYO52Z
"Mountain at My Gates";Foals;"Mountain at My Gates";GBAHT1500380;"2015-08-12 23:23";friend3001;244s;https://open.spotify.com/track/2n3JZ0r4oIQaDQDW4yjVpq
Walk;"Foo Fighters";"Wasting Light";USRW31100002;"2012-05-03 00:30";;256s;https://open.spotify.com/track/76Je5Wklky23mVoxiRszcN
"All My Life";"Foo Fighters";"ONE BY ONE";USRW30200001;"2012-05-20 22:11";;263s;https://open.spotify.com/track/5vMDvp6nUnTYhl5NMpgOnL
"Monkey Wrench";"Foo Fighters";"The Colour And The Shape";USRW29600001;"2012-05-26 18:20";;231s;https://open.spotify.com/track/0Y6LOyCGL6AgWDc0zGcLKt
Everlong;"Foo Fighters";"The Colour And The Shape";USRW29600011;"2012-05-26 18:20";;250s;https://open.spotify.com/track/6u47WBqEuowycc48t2Wekx
"Best Of You - Live at the Pantages Theatre, Los Angeles, CA - August 2006";"Foo Fighters";"Skin And Bones (Live)";USRW30600048;"2012-05-26 18:26";;303s;https://open.spotify.com/track/1152S957C8U9O5oFJxEQ8I
"The Pretender";"Foo Fighters";"Echoes, Silence, Patience & Grace";USRW30700007;"2012-07-10 18:33";;269s;https://open.spotify.com/track/3oD1KZsKRrg8G45Qy3rhfY
Rope;"Foo Fighters";"Wasting Light";USRW31100001;"2013-08-04 22:08";friend3001;259s;https://open.spotify.com/track/7v0mtl6oInUtHOmTk2b0gC
"Something from Nothing";"Foo Fighters";"Sonic Highways";USRW31400002;"2014-11-16 20:04";friend3001;288s;https://open.spotify.com/track/6REiraH7Pe3akd0mkFA4l9
