title;artist;album;isrc;addedDate;addedBy;duration;url
"Dreadlock Holiday";10cc;"Bloody Tourists";GBF087800002;"2021-04-15 03:33";sj1bdpnkh9q3knr3ss718da1d;268s;https://open.spotify.com/track/1LOZMYF5s8qhW7Rv4w2gun
"I'm Not In Love";10cc;"The Original Soundtrack";GBF087500001;"2021-04-15 03:33";sj1bdpnkh9q3knr3ss718da1d;367s;https://open.spotify.com/track/5HQEmiV2lKnSO6qa2fsR7x
"The Things We Do For Love";10cc;"Deceptive Bends";GBF087600005;"2021-04-15 03:33";sj1bdpnkh9q3knr3ss718da1d;208s;https://open.spotify.com/track/6KEWtSOGKpIXGw6l1uJgsR
"How Long";Ace;Five-A-Side;GBAZJ0600006;"2021-04-15 03:33";sj1bdpnkh9q3knr3ss718da1d;204s;https://open.spotify.com/track/4AjKVyNUMdUveKK5OH1OJD
"All Out of Love";"Air Supply";"Lost in Love";USAR18000002;"2021-04-15 03:33";sj1bdpnkh9q3knr3ss718da1d;243s;https://open.spotify.com/track/7dQC53NiYOY9gKg3Qsu2Bs
"Even the Nights Are Better";"Air Supply";"Now And Forever";USAR18200001;"2021-04-15 03:33";sj1bdpnkh9q3knr3ss718da1d;237s;https://open.spotify.com/track/09bRmFRViBORKQ2miwp04P
"Nothin' You Can Do About It";Airplay;Airplay;USRC19901209;"2022-04-21 20:51";sj1bdpnkh9q3knr3ss718da1d;287s;https://open.spotify.com/track/3AFGpmbpdctoSsLYiu07vl
Mornin';"Al Jarreau";Jarreau;USRH10801285;"2022-06-19 17:38";sj1bdpnkh9q3knr3ss718da1d;258s;https://open.spotify.com/track/4TxBGpTxrNvRNhF39Dl3NQ
"Wait a Little While";"Al Jarreau";"All Fly Home";USWB10105106;"2021-12-21 22:59";sj1bdpnkh9q3knr3ss718da1d;220s;https://open.spotify.com/track/4Qbpy1Pz4bT1nZn9hqdVoM
"We're in This Love Together";"Al Jarreau";"Breakin' Away";USWB10902587;"2021-04-15 03:33";sj1bdpnkh9q3knr3ss718da1d;226s;https://open.spotify.com/track/1Let4BYaYSum46nAGO1i6v
"Time Passages";"Al Stewart";"Time Passages";USRH10650445;"2021-12-06 23:41";sj1bdpnkh9q3knr3ss718da1d;403s;https://open.spotify.com/track/5zVKisBri6JH1fooBhUaVq
"Year of the Cat";"Al Stewart";"Year of the Cat";USRH10650441;"2021-04-15 03:33";sj1bdpnkh9q3knr3ss718da1d;400s;https://open.spotify.com/track/7MTX3vevnm41xuEoPxWT3j
"Show and Tell";"Al Wilson";"Show and Tell: The Best of Al Wilson";US2Y30611996;"2021-04-15 03:33";sj1bdpnkh9q3knr3ss718da1d;208s;https://open.spotify.com/track/2vhW1OmaZDYi63Da9d8R5o
Apothecary;Ambrosia;"Life Beyond L.A.";USWB19902226;"2022-05-30 00:15";sj1bdpnkh9q3knr3ss718da1d;293s;https://open.spotify.com/track/04K1ozOhXwpnru8UDwPSFc
"Art Beware";Ambrosia;"Life Beyond L.A.";USWB19902225;"2022-02-25 20:44";sj1bdpnkh9q3knr3ss718da1d;135s;https://open.spotify.com/track/2AC5kWH1PibUiG5SH7vP5M
"Biggest Part of Me";Ambrosia;"One Eighty";USWB18000096;"2021-04-15 03:33";sj1bdpnkh9q3knr3ss718da1d;324s;https://open.spotify.com/track/6JHXiRD1QjMK1N6AQEnL04
"Cryin' in the Rain";Ambrosia;"One Eighty";USWB19902235;"2022-03-10 20:58";sj1bdpnkh9q3knr3ss718da1d;280s;https://open.spotify.com/track/01bohMcGxWkKFczNJuPzGb
"Dancin' by Myself";Ambrosia;"Life Beyond L.A.";USWB19902228;"2021-12-06 23:41";sj1bdpnkh9q3knr3ss718da1d;279s;https://open.spotify.com/track/6tLW2PMuQFtAfkJ6xceCyG
"Drink of Water";Ambrosia;Ambrosia;USWB19902224;"2021-12-21 22:59";sj1bdpnkh9q3knr3ss718da1d;389s;https://open.spotify.com/track/3XG8UlywNf3cPPU4vdkyc4
"How Much I Feel";Ambrosia;"Life Beyond L.A.";USWB17800025;"2021-04-15 03:33";sj1bdpnkh9q3knr3ss718da1d;283s;https://open.spotify.com/track/3GVhCuS4BRxCTvVj4Cmc8w
"If Heaven Could Find Me";Ambrosia;"Life Beyond L.A.";USWB19902227;"2021-12-06 23:41";sj1bdpnkh9q3knr3ss718da1d;269s;https://open.spotify.com/track/0Z1gpUUtserLUeePGZRlDv
Kamikaze;Ambrosia;"One Eighty";USWB19902233;"2021-12-06 23:41";sj1bdpnkh9q3knr3ss718da1d;246s;https://open.spotify.com/track/5kjcMunct3LxXBkJWz6QzD
"Lover Arrive";Ambrosia;Ambrosia;USWB19902222;"2021-12-21 22:59";sj1bdpnkh9q3knr3ss718da1d;193s;https://open.spotify.com/track/2DXhkCg4zmTr7Rvtueq11B
"Make Us All Aware";Ambrosia;Ambrosia;USWB19902221;"2021-12-21 22:59";sj1bdpnkh9q3knr3ss718da1d;269s;https://open.spotify.com/track/6YFsZkMrOsZn9eWR4hhxAW
"No Big Deal";Ambrosia;"One Eighty";USWB19902236;"2022-02-08 02:07";sj1bdpnkh9q3knr3ss718da1d;268s;https://open.spotify.com/track/40UJFRv1PIwEXDwtu20KRA
"Not as You Were";Ambrosia;"Life Beyond L.A.";USWB19902229;"2022-04-21 20:51";sj1bdpnkh9q3knr3ss718da1d;233s;https://open.spotify.com/track/1Y59qJpXo3vMyrjOSeCK2t
Ready;Ambrosia;"One Eighty";USWB19902231;"2021-12-06 23:41";sj1bdpnkh9q3knr3ss718da1d;267s;https://open.spotify.com/track/76g4eaaZiMWtGGgWFmDvlP
"Ready for Camarillo";Ambrosia;"Life Beyond L.A.";USWB19902230;"2022-05-14 00:37";sj1bdpnkh9q3knr3ss718da1d;295s;https://open.spotify.com/track/1dOTlLo7fgs8OcnOQpqPqH
"Rock N' a Hard Place";Ambrosia;"One Eighty";USWB19902234;"2022-04-21 20:51";sj1bdpnkh9q3knr3ss718da1d;241s;https://open.spotify.com/track/6Dtc4eD4DYg3wOEYv2j0kR
"Shape I'm In";Ambrosia;"One Eighty";USWB19902232;"2022-05-30 00:15";sj1bdpnkh9q3knr3ss718da1d;211s;https://open.spotify.com/track/6dHXjuouTn2UciZHMAYsiZ
"World Leave Me Alone";Ambrosia;Ambrosia;USWB19902220;"2022-05-14 00:37";sj1bdpnkh9q3knr3ss718da1d;197s;https://open.spotify.com/track/5rgl8qkp2BlG4TsqLQLYJb
"You're the Only Woman - You & I";Ambrosia;"One Eighty";USWB18000097;"2021-04-15 03:33";sj1bdpnkh9q3knr3ss718da1d;263s;https://open.spotify.com/track/11qmuUlW5q5diLiVSOlsSF
"Holdin' on to Yesterday";"Ambrosia, Alan Parsons";Ambrosia;USWB17500026;"2021-12-21 22:59";sj1bdpnkh9q3knr3ss718da1d;260s;https://open.spotify.com/track/5nFpF7jUbVnnDMXIu65aoh
"Nice, Nice, Very Nice";"Ambrosia, Alan Parsons";Ambrosia;USWB17500025;"2021-12-21 22:59";sj1bdpnkh9q3knr3ss718da1d;350s;https://open.spotify.com/track/10Vp6LUbSc5LUM3ksCZB1M
"Time Waits for No One";"Ambrosia, Alan Parsons";Ambrosia;USWB17500027;"2022-04-12 07:59";sj1bdpnkh9q3knr3ss718da1d;302s;https://open.spotify.com/track/2b0dKwpLJlM5wjNgS03lLx
"Livin' on My Own";"Ambrosia, Michael Verdick";"One Eighty";USWB18000098;"2021-12-06 23:41";sj1bdpnkh9q3knr3ss718da1d;284s;https://open.spotify.com/track/5vXCs8T9SXOQi5Wz9iY194
Angola;"Ambrosia, Tom Trefethen";"Life Beyond L.A.";USWB17800024;"2022-02-25 20:44";sj1bdpnkh9q3knr3ss718da1d;230s;https://open.spotify.com/track/78NXIjS8B0Zsc5cKhY9ja3
Clarice;America;America;USWB10001098;"2022-03-10 20:58";sj1bdpnkh9q3knr3ss718da1d;241s;https://open.spotify.com/track/6PcURcS1dxPlCFCO8ivCF1
"Daisy Jane";America;"America's Greatest Hits - History";USWB19901802;"2021-04-15 03:33";sj1bdpnkh9q3knr3ss718da1d;186s;https://open.spotify.com/track/7Lv30zUbvlC5J2VMqpE7Ps
"Never Found the Time";America;America;USWB10001097;"2022-01-03 20:14";sj1bdpnkh9q3knr3ss718da1d;231s;https://open.spotify.com/track/1LTs2BijicMozqQmUN6kL1
"Pigeon Song";America;America;USWB10001100;"2022-05-09 06:14";sj1bdpnkh9q3knr3ss718da1d;138s;https://open.spotify.com/track/2mViX0GDx6zIC1HZGWtEEX
Riverside;America;America;USWB10001091;"2021-12-06 23:41";sj1bdpnkh9q3knr3ss718da1d;181s;https://open.spotify.com/track/2S7hH8gCuwlqL8vqia3eJp
"Sister Golden Hair";America;Hearts;USWB19901801;"2021-04-15 03:33";sj1bdpnkh9q3knr3ss718da1d;200s;https://open.spotify.com/track/5VSAonaAPhhGn0G7hMYwWK
"You Can Do Magic";America;"View From The Ground";USCA29300290;"2021-04-15 03:33";sj1bdpnkh9q3knr3ss718da1d;237s;https://open.spotify.com/track/5dXED6MP1v1qghkaniirb1
"A Horse with No Name";"America, George Martin";America;USWB19901792;"2021-04-15 03:33";sj1bdpnkh9q3knr3ss718da1d;252s;https://open.spotify.com/track/54eZmuggBFJbV7k248bTTt
"Ventura Highway";"America, George Martin";Homecoming;USWB19901795;"2021-04-15 03:33";sj1bdpnkh9q3knr3ss718da1d;211s;https://open.spotify.com/track/4IU1RL4BKvFyXtbTwaHAvW
"Lonely Boy";"Andrew Gold";"What's Wrong with This Picture?";USEE10183941;"2022-04-12 07:59";sj1bdpnkh9q3knr3ss718da1d;265s;https://open.spotify.com/track/6wGMLoEqD2k3RBXFHD0yUp
