title;artist;album;isrc;addedDate;addedBy;duration;url
"Bad Day";"Daniel Powter";"Daniel Powter";USWB10401971;"2019-08-19 00:02";randomparity;234s;https://open.spotify.com/track/0mUyMawtxj1CJ76kn9gIZK
"Where Are You Going";"Dave Matthews Band";"Busted Stuff";USRC10200289;"2019-08-19 00:01";randomparity;232s;https://open.spotify.com/track/5EjZXJ4nVpw7uI6eso1SFS
"What Would You Say";"Dave Matthews Band";"Under the Table and Dreaming (Expanded Edition)";USRC19401082;"2019-08-19 00:01";randomparity;222s;https://open.spotify.com/track/6yu913P5J0mUmbX4ZDofEv
"Ants Marching";"Dave Matthews Band";"Under the Table and Dreaming (Expanded Edition)";USRC19401087;"2019-08-19 00:01";randomparity;271s;https://open.spotify.com/track/2FfZg072w8RoxlMOR7M4CT
"Changes - 2015 Remaster";"David Bowie";"Hunky Dory (2015 Remaster)";USJT11500128;"2019-08-19 00:01";randomparity;218s;https://open.spotify.com/track/0LrwgdLsFaWh9VXIjBRe8t
"Suffragette City - 2012 Remaster";"David Bowie";"The Rise and Fall of Ziggy Stardust and the Spiders from Mars (2012 Remaster)";USJT11200010;"2019-08-19 00:01";randomparity;208s;https://open.spotify.com/track/3YZa4IzxK2UtEKTvdTgsi8
"Let's Dance - 1999 Remaster";"David Bowie";"Let's Dance (1999 Remaster)";USJT19900185;"2019-08-19 00:01";randomparity;457s;https://open.spotify.com/track/0F0MA0ns8oXwGw66B2BSXm
"Young Americans - 2016 Remaster";"David Bowie";"Young Americans (2016 Remaster)";USJT11600045;"2019-08-19 00:01";randomparity;314s;https://open.spotify.com/track/7uPmQttafLiJyju14JREY4
"Please Forgive Me";"David Gray";"White Ladder";GBDLY0000001;"2019-08-19 00:01";randomparity;335s;https://open.spotify.com/track/2H0oiflYrs8PPjOxZ5TdIu
"Breakfast At Tiffany's";"Deep Blue Something";Home;USIR19500177;"2019-08-19 00:01";randomparity;257s;https://open.spotify.com/track/1uzWOoJdADfstQuFtQFTUn
"Smoke on the Water";"Deep Purple";"Machine Head";USWB19700125;"2019-08-19 00:01";randomparity;342s;https://open.spotify.com/track/5SAUIWdZ04OxYfJFDchC7S
"Wasting My Time";Default;"The Fallout (Limited Edition)";USTV10100094;"2019-08-19 00:01";randomparity;269s;https://open.spotify.com/track/5dpAN1mjFPL38kh9kWsCiw
Layla;"Derek & The Dominos";"Complete Clapton";NLF057090038;"2019-08-18 23:55";randomparity;428s;https://open.spotify.com/track/1KDsONFxp3YtnJTaLeWFIi
"Whip It";DEVO;"Freedom Of Choice";USWB10000035;"2019-08-19 00:01";randomparity;161s;https://open.spotify.com/track/4sscDOZCkbLSlDqcCgUJnX
"Come On Eileen";"Dexys Midnight Runners";"Too Rye Ay";GBF088200006;"2019-08-19 00:01";randomparity;287s;https://open.spotify.com/track/0EMmVUYs9ZZRHtlADB88uz
"Sausalito Summernight";Diesel;"On The Rocks";NLC280000279;"2019-08-19 00:01";randomparity;309s;https://open.spotify.com/track/3Vah9acceGHoVBgH4iijET
"I Know";"Dionne Farris";"Wild Seed - Wild Flower";USSM19402038;"2019-08-19 00:02";randomparity;228s;https://open.spotify.com/track/698R7h4SU5zyNil1iReHAX
"I Touch Myself";Divinyls;Divinyls;USVI29000004;"2019-08-19 00:01";randomparity;228s;https://open.spotify.com/track/6oNvmplQGUkmAh441Teows
"One Tin Soldier, The Legend Of Billy Jack [In the Style of ""Coven""]";"Done Again";"Coven - One Tin Soldier, The Legend Of Billy Jack (Reproduction)";USK4W0710564;"2019-08-18 23:55";randomparity;194s;https://open.spotify.com/track/0oEkbFyMHI65DKynqGXFJ6
"The Cover of 'Rolling Stone'";"Dr. Hook";Revisited;USSM19916852;"2019-08-19 00:01";randomparity;172s;https://open.spotify.com/track/3JYjHeKY0OSnkQGJGvw7P8
"Barely Breathing";"Duncan Sheik";"Duncan Sheik";USAT29600039;"2019-08-19 00:01";randomparity;255s;https://open.spotify.com/track/75HZ6Wxnw8xbgz6HU9kKCS
"Desperado - 2013 Remaster";Eagles;"Desperado (2013 Remaster)";USEE11300307;"2019-08-19 00:01";randomparity;214s;https://open.spotify.com/track/2TjnCxxQRYn56Ye8gkUKiW
"Take It Easy - 2013 Remaster";Eagles;"Eagles (2013 Remaster)";USEE11300314;"2019-08-19 00:01";randomparity;212s;https://open.spotify.com/track/4yugZvBYaoREkJKtbG08Qr
"Witchy Woman - 2013 Remaster";Eagles;"The Very Best of the Eagles (2013 Remaster)";USEE11300315;"2019-08-19 00:01";randomparity;251s;https://open.spotify.com/track/1NSjV4Ji9MKtUQDXHAH4k0
"Seven Bridges Road - Live; 1999 Remaster";Eagles;"Eagles Live";USEE19900355;"2019-08-19 00:01";randomparity;185s;https://open.spotify.com/track/1osAmhnIT0rtuqLZ1IliBQ
"I Can't Tell You Why - 2013 Remaster";Eagles;"The Long Run (2013 Remaster)";USEE11300335;"2019-08-19 00:01";randomparity;295s;https://open.spotify.com/track/02BsTeJE4q5gWOTt58ur5U
"Peaceful Easy Feeling - 2013 Remaster";Eagles;"Eagles (2013 Remaster)";USEE11300322;"2019-08-19 00:01";randomparity;258s;https://open.spotify.com/track/40h65HAR8COEoqkMwUUQHu
"One of These Nights - 2013 Remaster";Eagles;"One of These Nights (2013 Remaster)";USEE11300344;"2019-08-19 00:01";randomparity;292s;https://open.spotify.com/track/608xszaAxVh4m7NcKJiAbF
"Heartache Tonight - 2013 Remaster";Eagles;"The Long Run (2013 Remaster)";USEE11300339;"2019-08-19 00:01";randomparity;266s;https://open.spotify.com/track/2bzgKuK3pVez40qUvo8sYr
"Lyin' Eyes - 2013 Remaster";Eagles;"One of These Nights (2013 Remaster)";USEE11300348;"2019-08-19 00:01";randomparity;382s;https://open.spotify.com/track/5lQKRR3MdJLtAwNBiT8Cq0
"Take It to the Limit - 2013 Remaster";Eagles;"One of These Nights (2013 Remaster)";USEE11300349;"2019-08-19 00:01";randomparity;287s;https://open.spotify.com/track/2cWHN0WK52RGAWHgaDamUA
September;"Earth, Wind & Fire";"The Eternal Dance";USSM17800253;"2019-08-18 23:55";randomparity;215s;https://open.spotify.com/track/5nNmj1cLH3r4aA4XDJ2bgY
"Got to Get You into My Life";"Earth, Wind & Fire";"Greatest Hits";USSM19803688;"2019-08-19 00:01";randomparity;250s;https://open.spotify.com/track/2Zg1sMyklsgALBBTI3C812
"After the Love Has Gone";"Earth, Wind & Fire";"I Am";USSM19801712;"2019-08-19 00:01";randomparity;278s;https://open.spotify.com/track/3cfnGXJ9bmiWvFqEO6ff8B
"Shining Star";"Earth, Wind & Fire";"That's The Way Of The World";USSM17400660;"2019-08-19 00:01";randomparity;170s;https://open.spotify.com/track/0RgcOUQg4qYAEt9RIdf3oB
"Boogie Wonderland";"Earth, Wind & Fire, The Emotions";"I Am";USSM19922860;"2019-08-19 00:01";randomparity;288s;https://open.spotify.com/track/6ztstiyZL6FXzh4aG46ZPD
"Two Tickets to Paradise";"Eddie Money";"Eddie Money";USSM17700223;"2019-08-19 00:01";randomparity;237s;https://open.spotify.com/track/22CIOfLZB9z8He7WgHYAgH
"You've Really Got a Hold On Me";"Eddie Money";"Eddie Money";USSM10012430;"2019-08-19 00:01";randomparity;229s;https://open.spotify.com/track/7jmU8QYtpfgDfi304r7klj
"Baby Hold On";"Eddie Money";"Eddie Money";USSM10012427;"2019-08-19 00:01";randomparity;211s;https://open.spotify.com/track/5ZYvcJ04ccUw2Matbnmu0U
"Take Me Home Tonight";"Eddie Money";"The Best Of Eddie Money";USSM18500149;"2019-08-19 00:01";randomparity;211s;https://open.spotify.com/track/63diy8Bzm0pHMAU37By2Nh
"Think I'm In Love";"Eddie Money";"No Control";USSM18200742;"2019-08-19 00:01";randomparity;189s;https://open.spotify.com/track/6mJQe0vTIojlxwyMwwy6YR
"Empty Chairs At Empty Tables";"Eddie Redmayne";"Les Misérables: The Motion Picture Soundtrack Deluxe (Deluxe Edition)";GBUM71207872;"2019-08-18 23:59";randomparity;191s;https://open.spotify.com/track/29bONW7GKEq7ZDBqiQC2PV
"ABC Café / Red & Black";"Eddie Redmayne, Aaron Tveit, Students";"Les Misérables: The Motion Picture Soundtrack Deluxe (Deluxe Edition)";GBUM71207816;"2019-08-18 23:58";randomparity;261s;https://open.spotify.com/track/0RmH0VjGdppj6vccWhs3x4
"'O sole mio - Live";"Eduardo di Capua, Alfredo Mazzucchi, José Carreras, Plácido Domingo, Luciano Pavarotti, Orchestra Del Teatro Dell'Opera Di Roma, Orchestra del Maggio Musicale Fiorentino, Zubin Mehta";"The Three Tenors - The Best of the 3 Tenors";GBF079040316;"2019-08-18 23:57";randomparity;160s;https://open.spotify.com/track/1tfYw56dHGRvJM7TI1OUSe
"Don't Bring Me Down";"Electric Light Orchestra";Discovery;USSM10015734;"2019-08-19 00:01";randomparity;243s;https://open.spotify.com/track/72ahyckBJfTigJCFCviVN7
"Turn to Stone";"Electric Light Orchestra";"Out of the Blue";USSM17800576;"2019-08-19 00:01";randomparity;229s;https://open.spotify.com/track/1Pd1h30mgU05QkWYhgFzwt
"Mr. Blue Sky";"Electric Light Orchestra";"Out of the Blue";USSM17200399;"2019-08-19 00:01";randomparity;303s;https://open.spotify.com/track/2RlgNHKcydI9sayD2Df2xp
"Evil Woman";"Electric Light Orchestra";"The Essential Electric Light Orchestra";USSM10015758;"2019-08-19 00:01";randomparity;252s;https://open.spotify.com/track/05zCw24BdvZKGeC5NXowVe
"Don't Let The Sun Go Down On Me";"Elton John";Caribou;GBAMB9500047;"2019-08-19 00:01";randomparity;337s;https://open.spotify.com/track/11FcfHd3SOmmrWJPGe7Y30
Alison;"Elvis Costello";"My Aim Is True";GBASQ7700005;"2019-08-19 00:01";randomparity;205s;https://open.spotify.com/track/1v98rfd0an913AzHvMNG8a
"(The Angels Wanna Wear My) Red Shoes";"Elvis Costello";"The Best Of The First 10 Years";GBASQ7700007;"2019-08-19 00:01";randomparity;169s;https://open.spotify.com/track/6EtRQmz6VU9DAS7RbI6uNn
"Watching The Detectives - Single Version";"Elvis Costello";"My Aim Is True";GBASQ7700013;"2019-08-19 00:01";randomparity;226s;https://open.spotify.com/track/0KrYPz4S4mKHeBjCwYJp0s
"Oliver's Army";"Elvis Costello & The Attractions";"Armed Forces";GBASQ7900043;"2019-08-18 23:54";randomparity;180s;https://open.spotify.com/track/1GIV1YzfuFzYAoUjwx3r7W
"Everyday I Write The Book - Live";"Elvis Costello, The Imposters";"The Return Of The Spectacular Spinning Songbook";USUG11101173;"2019-08-19 00:01";randomparity;300s;https://open.spotify.com/track/3Eys7SmqD9IJeJpZwUdXvp
"She's Waiting - 1999 Remaster";"Eric Clapton";"Clapton Chronicles: The Best of Eric Clapton";USWB19901061;"2019-08-19 00:01";randomparity;295s;https://open.spotify.com/track/3mvbIOg5yaRpyj76g4SgOv
"I Can't Stand It";"Eric Clapton";"Complete Clapton";NLF058190007;"2019-08-19 00:01";randomparity;248s;https://open.spotify.com/track/08dOlDgNUJCyDNe7F9Dx37
"Hello Old Friend";"Eric Clapton";"Complete Clapton";NLF057690001;"2019-08-19 00:01";randomparity;213s;https://open.spotify.com/track/2Vo8VPB1bPqgeH9Jjq5lcf
"Tears in Heaven - Acoustic; Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992; 2013 Remaster";"Eric Clapton";"Unplugged (Deluxe Edition)";USRE11300314;"2019-08-19 00:01";randomparity;280s;https://open.spotify.com/track/612VcBshQcy4mpB2utGc3H
"Wonderful Tonight";"Eric Clapton";"Slowhand 35th Anniversary (Super Deluxe)";NLF057790025;"2019-08-19 00:01";randomparity;225s;https://open.spotify.com/track/6zC0mpGYwbNTpk9SKwh08f
"Lay Down Sally";"Eric Clapton";"Slowhand 35th Anniversary (Super Deluxe)";NLF057790026;"2019-08-19 00:01";randomparity;236s;https://open.spotify.com/track/6io0LJIP9ntX35hTfaxwQG
"Layla - Acoustic; Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992; 2013 Remaster";"Eric Clapton";"Unplugged (Deluxe Edition)";USRE11300317;"2019-08-19 00:01";randomparity;289s;https://open.spotify.com/track/3BEZCNZSmVv30vsMNSOCri
"I Shot The Sheriff - Full Length Version";"Eric Clapton";"I Shot The Sheriff (Full Length Version)";GBUM71801037;"2019-08-19 00:01";randomparity;410s;https://open.spotify.com/track/5Pjx3qeo3aCwSYQ6R3yMzE
"After Midnight";"Eric Clapton";"Eric Clapton";NLF057090020;"2019-08-19 00:01";randomparity;171s;https://open.spotify.com/track/27mdmXNcO0gNpXlrWi9DPZ
"Would I Lie to You? - 2018 Remastered";"Eurythmics, Annie Lennox, Dave Stewart";"Be Yourself Tonight (2018 Remastered)";GBARL1800405;"2019-08-19 00:01";randomparity;268s;https://open.spotify.com/track/5xAq59nWFYK81UcJjWkzke
"Sweet Dreams (Are Made of This) - Remastered";"Eurythmics, Annie Lennox, Dave Stewart";"Sweet Dreams (Are Made Of This)";GBARL0300589;"2019-08-19 00:01";randomparity;217s;https://open.spotify.com/track/1TfqLAPs4K3s2rJMoCokcS
"Here Comes the Rain Again - Remastered Version";"Eurythmics, Annie Lennox, Dave Stewart";"Touch (Reissue - Deluxe Edition)";GBARL0300600;"2019-08-19 00:01";randomparity;295s;https://open.spotify.com/track/78RIER8V6EhrqVPOBi2GYa
"I Will Buy You A New Life";Everclear;"So Much For The Afterglow";USCA29700046;"2019-08-19 00:00";randomparity;238s;https://open.spotify.com/track/2fhfoZqqTJ8jo4HvWseNfM
"What It's Like";Everlast;"Whitey Ford Sings The Blues";USRH10904472;"2019-08-19 00:01";randomparity;303s;https://open.spotify.com/track/0kEQwPz9SrMN8E5iL9cxQL
"Hole Hearted";Extreme;"Extreme II - Pornograffitti";USAM19090000;"2019-08-19 00:01";randomparity;219s;https://open.spotify.com/track/1cItNpcJskTVETprljc7HV
"More Than Words";Extreme;"Extreme II - Pornograffitti";USAM19090005;"2019-08-19 00:01";randomparity;334s;https://open.spotify.com/track/1gVgkQFOKa8Wc1HYsJtPdH
Breathe;"Faith Hill";Breathe;USWB19902554;"2019-08-19 00:01";randomparity;251s;https://open.spotify.com/track/3y4LxiYMgDl4RethdzpmNe
1234;Feist;"The Reminder";FRUM70600217;"2019-08-19 00:01";randomparity;184s;https://open.spotify.com/track/2CzWeyC9zlDpIOZPUUKrBW
"Take a Picture";Filter;"Title Of Record";USRE10900252;"2019-08-19 00:01";randomparity;360s;https://open.spotify.com/track/2c5wml8wsBnPfNSbCZ574T
